x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一0303合约,3123,3123,812,2311,0.397680198186923,-0.0966865815546588,26.0006404098623,166.598943737789,6.37866704870186,13.3364508275528,264.283783461904,7.97,-6.38,-4.81,33.37,8.49,5,27,4.70,1.66,309,0.30,7.82,16.99,1.70,26.01
沪白银1209合约,1365,1365,431,934,0.343834416833779,-0.101190703408754,31.5750915750916,69.6066966280469,4.45274924261583,12.748479235906,94.4010701894597,9.98,-4.45,-2.13,24.17,8.59,6,18,5.51,1.76,273,0.35,8.13,20.77,1.81,31.60
沪铝0201合约,3380,3380,852,2528,0.367854690202126,-0.0825878761792933,25.207100591716,180.597241161222,3.32244178786149,13.3577841095578,293.390088661134,7.74,-3.32,-1.92,41.82,7.95,6,30,4.58,1.65,317,0.29,5.60,14.48,1.69,25.21
沪黄金0806合约,2416,2416,712,1704,0.239932901988032,-0.0741503531578851,29.4701986754967,55.2411643852906,2.8382064833057,5.71618008953752,97.6552295561467,4.50,-2.84,-1.42,16.61,4.44,5,19,3.17,1.41,490,0.20,3.11,11.68,1.42,29.44
连豆二0503合约,2598,2598,612,1986,0.527210851704645,-0.183138495185857,23.5565819861432,-36.0409556703275,54.1470066003233,-3.4681443100777,-17.0632504399097,-4.09,-54.15,-32.15,31.56,-2.30,6,29,8.28,-0.46,NaN,0.53,-0.99,10.61,-0.49,23.57
沪石油沥青1402合约,1017,1017,226,791,0.684849557878055,-0.164238838291036,22.2222222222222,26.5963309293542,6.75490703818067,6.53793778991008,40.1447932652769,5.85,-6.75,-5.09,15.86,6.79,4,28,7.88,0.76,184,0.50,7.23,12.73,0.74,22.24
连玉米0501合约,3217,3217,828,2389,0.284144569795942,-0.0810490368958978,25.7382654647187,50.5122812892839,6.86780421470478,3.92541819158253,107.615636856603,3.16,-6.87,-6.81,12.34,2.96,5,21,3.40,0.93,583,0.22,2.52,8.61,0.93,25.75
郑棉花001合约,2943,2943,703,2240,0.405581021520901,-0.0918235867061003,23.8871899422358,118.38071041644,5.73464255653133,10.0561255875332,193.080825325373,6.69,-5.73,-5.26,30.74,7.23,6,22,4.70,1.40,346,0.30,5.82,17.71,1.42,23.90
连玉米淀粉1503合约,729,729,202,527,0.284342699126127,-0.106355967902926,27.7091906721536,1.22921058306575,5.62937328568527,0.421539980475224,8.88395219752247,0.28,-5.63,-4.98,6.37,0.53,3,19,3.33,0.10,464,0.21,-0.67,5.05,0.08,27.61
沪铜0201合约,3379,3379,966,2413,0.489220375188851,-0.123218128753413,28.5883397454868,462.745270635331,5.46979117106331,34.2368504465324,688.821380075586,13.30,-5.47,-3.62,47.81,13.23,5,23,5.98,2.12,485,0.38,8.94,32.11,2.23,28.60
郑玻璃001合约,964,964,259,705,0.595114932591437,-0.176845827391323,26.8672199170124,32.9353802909028,7.96260561284706,8.54133306299347,46.3836390403752,7.29,-7.96,-2.69,24.88,6.68,5,15,7.10,1.03,235,0.45,3.88,19.35,1.03,26.79
沪燃油0501合约,2503,2503,621,1882,0.754170218032641,-0.243176210296115,24.8102277267279,-0.47198464464101,53.8012216638096,-0.0471418941910717,27.8347425244803,-0.04,-53.80,-45.60,26.19,0.18,5,23,14.71,0.07,283,0.94,4.59,16.84,-0.00,24.82
沪热轧卷板1407合约,914,914,254,660,0.729013600645538,-0.180674345840285,27.7899343544858,90.8604666848718,6.73898299842653,24.8524252420328,109.112982872612,18.87,-6.74,1.47,37.26,18.23,4,17,8.26,2.14,97,0.53,19.93,28.04,2.28,27.82
连铁矿石1403合约,1018,1018,268,750,0.976023714866651,-0.251866976815578,26.3261296660118,102.06167340886,9.15491492160236,25.0642616426472,123.698653071165,18.44,-9.15,-3.82,48.57,19.61,5,14,10.59,1.65,160,0.68,19.29,33.41,1.74,26.35
