sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连豆一2101,2.70,-56.14,-31.33,75.39,2.69,14,8,17.16,0.24,911,1.10,-1.24,31.42,0.16,51.15,2020-11-02
连豆一2101-择时,-2.99,-48.71,-23.97,17.04,-2.94,3,5,7.65,-0.36,12,0.49,-3.19,7.71,-0.39,47.30,平仓
沪白银2012,-5.65,-68.70,-43.37,46.93,-5.81,11,8,23.50,-0.13,72,1.50,-8.93,17.34,-0.24,49.13,2020-11-02
沪白银2012-择时,2.75,-20.95,-20.59,24.09,3.68,3,5,10.45,0.31,840,0.67,4.60,16.70,0.26,46.12,做多
沪铝2012,-2.81,-69.92,-44.32,52.46,-2.32,9,10,14.88,-0.12,477,0.95,-4.57,15.63,-0.19,49.88,2020-11-02
沪铝2012-择时,0.29,-17.14,-11.40,21.73,0.20,3,4,5.85,0.08,1215,0.37,-0.48,7.60,0.05,49.00,平仓
郑苹果101,1.19,-40.94,-34.78,59.28,9.72,6,10,25.69,0.17,148,1.64,10.98,41.29,0.05,47.13,2020-11-02
郑苹果101-择时,-8.06,-33.97,-30.39,10.46,-12.42,2,4,14.65,-0.50,106,0.94,-15.53,0.60,-0.55,40.85,做多
沪黄金2012,2.35,-48.30,-31.91,62.61,4.70,9,9,17.28,0.22,403,1.11,1.60,25.90,0.14,51.65,2020-11-02
沪黄金2012-择时,2.71,-10.82,-6.76,15.69,2.24,3,6,5.15,0.55,1256,0.33,2.06,8.85,0.53,51.96,平仓
连豆二2012,4.58,-35.17,-32.38,60.07,5.38,9,11,17.64,0.34,683,1.13,2.89,28.84,0.26,51.08,2020-11-02
连豆二2012-择时,-0.01,-22.82,-17.32,27.91,0.96,3,5,7.73,0.04,1585,0.49,0.17,9.54,-0.00,49.00,平仓
连胶合板2012,14.62,-69.50,-68.49,321.66,23.31,9,7,38.33,0.55,901,2.45,16.75,92.49,0.38,52.23,2020-11-02
连胶合板2012-择时,1.97,-35.79,-28.32,29.83,2.11,3,4,13.44,0.21,177,0.86,1.11,16.55,0.15,50.21,平仓
沪石油沥青2012,-16.88,-76.12,-55.07,45.82,-11.74,7,9,27.82,-0.53,1,1.78,-9.56,19.44,-0.61,49.97,2020-11-02
沪石油沥青2012-择时,3.56,-17.52,-13.55,32.33,4.69,3,4,12.87,0.34,739,0.82,3.39,16.95,0.28,48.80,平仓
连玉米2101,2.82,-33.27,-31.23,31.46,1.89,11,8,10.99,0.31,2659,0.70,2.23,13.85,0.26,50.54,2020-11-02
