x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
理想反转-全市场,19.69,-6.06,9.75,29.69,20.48,11,12,6.04,3.01,57,0.39,20.96,24.73,3.26,56.01
理想反转-中证500,9.50,-10.02,-5.89,31.61,10.09,9,11,7.13,1.31,203,0.46,8.17,22.70,1.33,52.48
理想反转-沪深300,8.58,-14.87,-8.36,22.62,8.85,9,10,7.22,1.18,210,0.46,9.68,16.28,1.19,54.28
聪明钱-全市场,13.81,-6.30,-2.04,53.16,15.43,12,11,5.21,2.51,214,0.33,10.37,41.77,2.65,56.79
聪明钱-中证500,12.60,-12.15,-10.99,47.52,13.95,10,8,6.81,1.78,117,0.44,11.61,35.24,1.85,56.28
聪明钱-沪深300,11.27,-10.01,-8.04,59.75,12.33,14,9,7.25,1.51,487,0.46,4.90,42.86,1.55,54.89
APM-全市场,14.46,-6.89,2.20,30.17,15.31,13,8,4.92,2.77,107,0.32,15.19,22.88,2.94,58.79
APM-中证500,11.59,-12.64,-8.82,36.11,12.41,13,8,6.22,1.79,333,0.40,14.77,21.95,1.86,55.62
APM-沪深300,10.67,-8.60,-3.97,29.71,10.45,15,8,7.08,1.47,238,0.45,10.15,20.84,1.51,55.06
S32综合因子-全市场,25.63,-6.53,5.07,50.84,27.41,24,8,5.27,4.36,65,0.34,26.91,42.69,4.86,60.96
S32综合因子-中证500,16.38,-10.74,-7.07,64.61,18.45,11,9,6.67,2.31,99,0.43,17.63,46.92,2.45,55.62
S32综合因子-沪深300,16.34,-8.22,-4.74,39.83,17.21,23,11,6.63,2.32,87,0.42,17.39,29.97,2.46,57.34
