x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
沪深300,10.11,-46.70,-40.20,142.23,13.72,12,8,24.72,0.51,332,1.58,10.14,52.61,0.41,52.47
沪深300组合,8.57,-14.08,-1.41,29.46,9.38,12,8,8.35,1.03,230,0.53,7.51,20.31,1.03,53.95
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
中证500,9.01,-65.20,-45.28,186.55,11.72,12,7,28.48,0.45,112,1.82,3.12,53.52,0.32,54.65
中证500组合,7.15,-20.72,-6.25,34.15,7.34,8,8,10.06,0.74,342,0.64,5.76,18.42,0.71,53.95
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证50,9.40,-44.70,-38.02,131.04,14.34,19,10,25.12,0.48,336,1.61,11.79,51.71,0.37,50.82
上证50组合,6.41,-10.92,-5.47,23.98,7.10,8,7,7.52,0.87,287,0.48,6.40,16.75,0.85,51.30
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证综指,5.97,-52.30,-41.88,146.28,9.68,11,9,23.32,0.37,286,1.49,4.33,52.92,0.26,53.89
上证综指组合,11.36,-21.19,-6.44,43.45,11.83,12,9,10.64,1.07,205,0.68,8.78,32.14,1.07,56.71
