x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
ZJIH,904,904,243,661,0.521438574090836,-0.16466170532113,26.8805309734513,18.6874349026325,12.9708877522274,5.1679853159935,29.9139774956984,4.77,-12.97,-12.20,14.01,2.42,5,18,6.33,0.77,388,0.40,4.03,9.16,0.75,26.91
ZJIC,921,921,266,655,0.724460035224537,-0.209292268203683,28.8816503800217,72.0795196258701,6.00279927196089,19.5655590732546,88.6699410707318,15.59,-6.00,3.68,33.05,18.07,4,15,8.42,1.76,100,0.54,18.05,26.20,1.85,28.91
ZJIF,2139,2139,579,1560,0.670277915927206,-0.191946607538269,27.0687237026648,135.058337012791,8.96762532888413,15.785219379709,191.092391093374,10.26,-8.97,-3.37,34.79,9.64,6,28,8.57,1.18,232,0.55,7.61,21.43,1.20,27.08
