sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
中证流通-择时,6.12,-26.81,-19.12,36.73,5.79,3,4,11.40,0.58,1612,0.73,5.67,18.20,0.54,53.03,平仓
中证100,9.36,-71.72,-70.94,324.66,18.17,13,10,25.81,0.48,513,1.65,1.57,79.25,0.36,51.85,2020-11-02
中证100-择时,2.82,-24.81,-18.97,32.95,2.93,3,4,10.19,0.32,1511,0.65,0.64,15.97,0.28,51.33,做空
中证200,10.94,-73.77,-70.47,304.97,24.23,17,10,29.33,0.50,1763,1.88,4.82,110.64,0.37,54.45,2020-11-02
中证200-择时,5.15,-22.90,-11.35,36.12,5.25,3,4,11.21,0.50,1897,0.72,2.59,20.55,0.46,51.30,平仓
中证500,12.27,-72.42,-65.56,251.29,25.25,17,10,30.59,0.53,1679,1.96,6.81,114.74,0.40,56.01,2020-11-02
中证500-择时,8.76,-27.44,-24.98,50.16,8.78,3,4,12.45,0.74,1666,0.80,6.79,25.07,0.70,54.82,平仓
中证800,10.75,-71.76,-69.85,292.94,22.55,11,10,27.10,0.51,1847,1.73,5.97,98.79,0.40,53.81,2020-11-02
中证800-择时,5.12,-25.54,-14.78,34.12,5.26,3,5,10.50,0.53,1874,0.67,3.18,20.41,0.49,52.26,平仓
中证700,11.59,-73.16,-68.27,273.41,24.66,17,10,29.73,0.52,1740,1.90,5.37,111.05,0.39,55.25,2020-11-02
中证700-择时,8.58,-13.90,-7.48,41.77,8.54,3,4,11.73,0.76,756,0.75,4.95,23.25,0.73,54.78,平仓
中证红利,10.04,-72.13,-68.73,359.18,22.82,12,10,27.29,0.49,1850,1.75,4.53,98.46,0.37,53.43,2020-11-02
中证红利-择时,5.81,-26.11,-14.71,55.20,7.04,2,5,9.90,0.62,2099,0.63,4.89,27.81,0.59,51.89,做空
深证成指,6.65,-70.98,-70.31,349.16,14.80,13,10,27.45,0.37,1350,1.76,-0.88,75.82,0.24,51.65,2020-11-02
深证成指-择时,4.96,-21.41,-11.60,45.27,5.35,3,5,10.36,0.52,1672,0.66,5.05,17.70,0.48,50.07,平仓
深证深成指R,7.01,-70.68,-70.01,353.65,15.23,13,10,27.46,0.38,1851,1.76,-0.83,76.94,0.26,51.60,2020-11-02
深证深成指R-择时,4.54,-21.36,-11.60,45.29,4.62,3,5,10.20,0.49,1672,0.65,3.44,16.56,0.44,49.93,平仓
深证100R,12.63,-71.28,-69.90,331.76,22.70,14,10,27.70,0.57,1847,1.77,5.14,98.19,0.46,52.94,2020-11-02
深证100R-择时,4.39,-16.59,-14.52,31.16,4.30,3,4,10.85,0.45,1486,0.69,2.89,15.02,0.40,50.72,平仓
深证中小板指,14.68,-67.37,-61.09,187.97,20.84,17,10,29.48,0.61,1057,1.89,9.32,92.57,0.50,54.73,2020-11-02
深证中小板指-择时,2.70,-31.08,-28.99,37.37,2.90,3,6,11.04,0.30,2524,0.71,2.27,14.85,0.24,51.69,平仓
创业板指,10.16,-69.74,-47.31,197.24,14.93,9,9,30.95,0.47,651,1.98,-1.39,76.96,0.33,51.70,2020-11-02
创业板指-择时,3.12,-19.38,-12.53,19.47,2.95,3,5,8.16,0.42,1003,0.52,2.51,9.55,0.38,49.21,平仓
深证300,4.03,-59.03,-45.74,162.86,6.51,11,9,25.31,0.28,1053,1.62,2.95,40.43,0.16,52.41,2020-11-02
深证300-择时,6.65,-11.03,-8.75,33.63,6.57,3,3,9.05,0.76,785,0.58,3.96,22.89,0.74,53.87,平仓
中小300,4.78,-64.46,-44.91,171.64,6.65,11,8,26.41,0.31,1041,1.69,2.48,41.50,0.18,53.39,2020-11-02
中小300-择时,2.95,-15.15,-12.00,19.21,2.41,3,5,8.69,0.38,1005,0.56,2.32,8.14,0.34,50.80,平仓
