x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
买卖单Spread因子-全市场,10.70,-14.40,-6.89,26.33,10.25,16,10,6.41,1.62,304,0.41,10.44,20.87,1.67,56.68
买卖单Spread因子-中证500,9.83,-14.71,-10.58,28.12,9.93,12,11,7.29,1.32,289,0.47,9.34,20.80,1.35,53.97
买卖单Spread因子-沪深300,7.89,-13.56,-6.55,29.52,7.96,16,9,7.61,1.04,373,0.49,7.45,17.76,1.04,53.51
pareto买-全市场,4.39,-25.53,-20.40,29.57,6.55,10,16,7.55,0.61,348,0.48,7.91,19.87,0.58,51.88
pareto买-中证500,0.89,-32.94,-19.11,33.46,1.97,13,10,7.83,0.15,161,0.50,2.35,17.33,0.11,50.45
pareto买-沪深300,1.55,-18.49,-12.95,24.58,3.99,9,10,7.05,0.25,380,0.45,3.53,14.11,0.22,49.81
pareto买_adj-全市场,5.54,-24.39,-19.74,32.40,7.67,10,16,7.71,0.74,343,0.49,8.68,20.75,0.72,52.09
pareto买_adj-中证500,1.91,-32.62,-20.85,38.13,2.94,14,17,8.03,0.28,340,0.51,2.07,20.13,0.24,50.03
pareto买_adj-沪深300,1.48,-20.20,-16.18,24.44,3.68,9,10,7.25,0.24,396,0.46,3.71,13.76,0.20,49.13
pareto卖-全市场,5.61,-24.25,-19.73,29.63,7.56,11,16,7.43,0.77,306,0.48,7.85,20.92,0.76,52.78
pareto卖-中证500,0.46,-31.95,-19.79,26.09,1.33,14,10,7.89,0.10,339,0.50,1.37,13.80,0.06,50.40
pareto卖-沪深300,2.23,-17.68,-14.06,28.65,4.87,10,10,7.15,0.34,383,0.46,4.85,15.72,0.31,50.24
pareto卖_adj-全市场,7.47,-22.07,-17.88,32.34,9.22,14,16,7.62,0.98,193,0.49,9.13,23.27,0.98,52.30
pareto卖_adj-中证500,1.13,-30.67,-19.68,26.54,1.62,14,9,8.02,0.18,360,0.51,0.98,14.48,0.14,49.13
pareto卖_adj-沪深300,3.35,-17.74,-14.16,31.15,5.96,12,10,7.37,0.48,388,0.47,6.80,16.49,0.45,49.76
大买1-全市场,7.24,-14.00,-7.75,18.09,6.60,14,14,5.71,1.25,370,0.37,5.97,13.65,1.27,53.36
大买1-中证500,3.39,-17.80,-11.93,16.29,2.92,9,9,6.98,0.51,619,0.45,2.59,11.38,0.49,51.77
大买1-沪深300,9.04,-18.14,-5.55,31.06,8.47,13,14,7.28,1.23,349,0.47,8.07,15.01,1.24,53.68
大卖1-全市场,13.67,-15.18,-12.76,32.86,15.13,12,15,6.18,2.11,109,0.40,16.31,27.08,2.21,54.79
大卖1-中证500,7.01,-20.21,-15.24,23.08,7.70,10,9,7.39,0.95,191,0.47,8.31,17.05,0.95,51.08
大卖1-沪深300,5.10,-14.57,-13.71,22.31,6.72,11,9,7.03,0.74,452,0.45,7.30,16.71,0.72,52.62
大买卖差1-全市场,6.70,-12.27,-11.71,29.40,7.13,11,9,5.77,1.15,143,0.37,5.69,18.73,1.16,52.25
大买卖差1-中证500,5.61,-7.77,-6.41,21.77,5.78,8,8,7.64,0.75,249,0.49,4.96,14.36,0.73,50.61
大买卖差1-沪深300,0.89,-22.22,-14.99,29.68,1.32,7,12,7.96,0.15,260,0.51,0.96,12.85,0.11,49.87
大买卖和1-全市场,13.43,-11.68,-7.31,32.31,13.74,17,16,6.59,1.95,217,0.42,12.76,25.18,2.04,54.31
大买卖和1-中证500,9.09,-15.37,-10.84,27.36,9.13,12,15,7.09,1.26,281,0.45,10.33,18.67,1.28,52.14
大买卖和1-沪深300,8.64,-12.91,-10.23,27.05,9.46,10,12,6.79,1.25,229,0.43,10.14,20.26,1.27,54.15
大买2-全市场,7.99,-10.45,-5.12,19.65,7.48,10,11,5.57,1.41,372,0.36,7.72,14.42,1.43,52.99
大买2-中证500,4.72,-15.63,-8.73,15.27,3.83,11,10,7.03,0.69,471,0.45,3.14,11.36,0.67,51.98
