sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
中证2012-择时,1.99,-26.86,-18.12,30.81,3.03,8,7,16.32,0.20,930,1.04,2.19,17.83,0.12,50.04
沪深2012,4.78,-45.89,-33.97,115.08,7.05,9,9,24.87,0.31,1019,1.59,3.50,31.58,0.19,50.25
沪深2012-择时,1.32,-37.85,-24.86,60.45,2.50,10,10,16.42,0.16,431,1.05,0.49,19.09,0.08,49.38
上证2012,3.61,-44.52,-30.87,42.17,8.22,9,7,25.50,0.27,525,1.63,8.93,32.78,0.14,52.09
上证2012-择时,-1.47,-17.29,-13.39,23.84,0.94,7,10,11.47,-0.07,695,0.73,-0.48,11.39,-0.13,47.68
连焦炭2101,2.14,-81.91,-46.14,264.10,13.22,16,9,27.09,0.21,1769,1.73,-7.44,115.63,0.08,49.60
连焦炭2101-择时,20.83,-32.26,-23.10,166.01,27.32,16,10,20.00,1.05,368,1.28,18.57,70.80,1.04,50.40
连鸡蛋2101,-10.17,-63.99,-53.35,29.76,-7.24,10,9,20.24,-0.43,69,1.30,-6.84,14.70,-0.50,49.33
连鸡蛋2101-择时,-0.26,-31.61,-26.35,28.32,-0.69,10,9,12.42,0.04,152,0.80,1.59,10.95,-0.02,50.06
连焦煤2101,7.77,-60.38,-43.32,189.13,16.74,7,7,27.23,0.41,878,1.74,8.43,86.46,0.29,50.53
连焦煤2101-择时,-2.59,-41.32,-26.90,40.98,-2.33,7,10,14.89,-0.10,631,0.95,-7.04,24.23,-0.17,47.62
郑粳稻101,-3.70,-36.20,-23.35,18.00,-5.26,6,7,21.91,-0.06,60,1.40,-5.80,10.03,-0.17,46.47
郑粳稻101-择时,-4.20,-22.50,-19.85,8.24,-6.65,6,7,12.21,-0.29,170,0.78,-8.36,4.28,-0.34,50.31
连聚乙烯2101,-0.76,-63.67,-55.50,102.65,0.01,9,13,21.87,0.07,54,1.40,0.41,21.37,-0.03,50.75
连聚乙烯2101-择时,1.58,-47.19,-26.33,79.90,3.13,13,11,15.74,0.18,584,1.01,-0.25,23.68,0.10,50.18
郑晚籼稻011,-9.56,-34.69,-27.86,8.06,-14.96,5,9,21.17,-0.37,97,1.36,-18.19,-0.90,-0.45,46.71
郑晚籼稻011-择时,-15.22,-36.62,-32.03,2.99,-15.12,7,6,12.04,-1.31,168,0.77,-17.19,-0.31,-1.26,45.53
连豆粕2101,6.38,-45.60,-27.65,102.62,9.00,9,8,20.38,0.41,1030,1.30,6.30,31.67,0.31,51.00
连豆粕2101-择时,7.28,-29.39,-22.65,79.82,8.23,9,9,14.74,0.55,774,0.94,4.20,33.31,0.49,50.10
郑甲醇101,-7.31,-60.26,-42.32,58.18,-4.04,8,11,22.41,-0.23,1137,1.43,-6.79,28.74,-0.33,48.54
郑甲醇101-择时,4.47,-25.55,-22.96,39.84,5.55,11,10,13.87,0.38,172,0.89,3.81,23.89,0.32,49.86
沪镍2012,-1.06,-43.98,-38.28,53.28,3.70,7,6,24.70,0.08,1056,1.58,1.71,25.02,-0.04,51.99
沪镍2012-择时,12.73,-18.53,-9.62,42.12,14.81,7,7,14.74,0.89,290,0.94,13.21,32.02,0.86,52.37
20号胶2101,2.80,-30.21,-12.08,14.41,-4.31,5,8,26.69,0.24,47,1.71,-5.61,2.58,0.10,50.72
20号胶2101-择时,-4.34,-20.21,-13.32,-1.35,-9.42,7,9,13.09,-0.27,34,0.84,-9.55,-6.14,-0.33,48.20
郑菜油101,0.01,-64.86,-52.33,55.23,-2.14,8,10,18.26,0.09,35,1.17,-3.01,19.08,0.00,50.00
郑菜油101-择时,2.97,-19.87,-15.80,36.15,2.71,8,10,11.45,0.31,1439,0.73,2.59,10.57,0.26,49.53
连棕油2101,-6.34,-81.00,-61.73,49.24,-6.19,13,9,22.00,-0.19,29,1.41,-10.87,25.82,-0.29,50.29
连棕油2101-择时,5.99,-19.07,-18.60,52.66,6.49,11,12,13.97,0.49,1224,0.89,4.29,23.58,0.43,49.74
沪铅2012,-2.78,-46.32,-23.81,82.80,-0.21,11,10,17.37,-0.08,1374,1.11,-4.89,23.23,-0.16,49.25
沪铅2012-择时,-1.90,-29.29,-21.68,28.14,-1.29,8,8,9.48,-0.15,767,0.61,-2.71,10.49,-0.20,49.57
郑普麦107,-10.00,-76.61,-36.80,25.28,-7.40,7,9,16.67,-0.55,NaN,1.07,-6.70,7.72,-0.60,48.20
郑普麦107-择时,-0.94,-35.34,-25.91,36.39,-0.44,8,8,11.14,-0.03,480,0.71,-0.88,9.36,-0.08,49.14
连聚丙烯2101,6.20,-36.65,-29.85,121.08,7.93,7,7,20.90,0.39,497,1.34,0.64,35.88,0.30,50.00
连聚丙烯2101-择时,1.12,-20.74,-17.44,32.79,2.42,8,10,13.01,0.15,841,0.83,1.30,15.31,0.09,48.19
沪螺钢2101,1.15,-79.05,-41.19,113.91,3.45,11,10,21.45,0.16,17,1.37,-3.66,42.68,0.05,50.64
沪螺钢2101-择时,8.60,-44.73,-33.81,131.72,10.93,11,13,16.61,0.58,296,1.06,5.55,29.94,0.52,52.20
郑籼稻011,-2.72,-44.51,-23.41,56.47,-1.40,7,8,13.82,-0.13,30,0.88,-5.36,35.75,-0.20,47.27
郑籼稻011-择时,-2.88,-42.27,-38.49,19.06,-0.31,9,8,8.19,-0.32,653,0.52,1.17,10.24,-0.35,48.68
郑菜籽粕101,5.86,-32.43,-25.40,48.33,4.94,11,10,20.39,0.38,501,1.31,3.94,22.67,0.29,50.95
郑菜籽粕101-择时,-2.06,-28.56,-17.83,21.14,-0.45,8,8,11.79,-0.12,524,0.75,-1.50,11.02,-0.17,48.89
连粳米2012,-10.46,-13.78,-12.94,-8.77,-11.32,6,9,9.72,-1.09,NaN,0.62,-11.72,-9.64,-1.08,44.53
