x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S19分组结果-LR-全市场,17.79,-9.58,-6.73,50.66,17.99,16,12,7.30,2.28,272,0.47,16.12,42.95,2.44,56.09
S19分组结果-LR-中证500,15.56,-12.91,-11.07,74.40,15.53,13,14,9.25,1.61,120,0.59,11.87,34.54,1.68,54.57
S19分组结果-LR-沪深300,5.43,-19.17,-16.81,31.28,5.28,10,9,10.15,0.57,269,0.65,4.71,16.51,0.53,50.07
S19分组结果-LR-中证500-M2,21.68,-19.97,-18.91,61.71,25.01,17,8,9.17,2.19,88,0.59,23.37,49.31,2.37,56.21
S19分组结果-LR-沪深300-M2,10.29,-26.88,-24.89,54.31,11.16,10,10,11.29,0.93,88,0.72,10.29,36.42,0.91,52.43
S19分组结果-LR-中证500-M-2,16.41,-22.36,-18.65,53.80,18.40,13,9,9.23,1.69,118,0.59,15.34,45.40,1.78,53.44
S19分组结果-LR-沪深300-M-2,4.24,-26.44,-22.28,42.51,3.71,10,9,12.48,0.40,104,0.80,2.59,24.23,0.34,51.92
S19分组结果-RF-全市场,6.72,-4.14,-2.12,16.13,6.52,20,15,3.38,1.94,190,0.22,6.79,12.20,1.99,53.18
S19分组结果-RF-中证500,4.98,-11.53,-10.23,16.85,5.90,11,10,6.08,0.83,249,0.39,7.10,11.99,0.82,50.53
S19分组结果-RF-沪深300,1.51,-17.66,-12.78,19.59,2.02,11,9,7.58,0.24,123,0.49,0.80,10.09,0.20,50.40
S19分组结果-RF-中证500-M2,7.32,-10.32,-4.64,30.65,8.50,11,10,6.21,1.17,236,0.40,6.50,20.32,1.18,51.83
S19分组结果-RF-沪深300-M2,6.96,-12.69,-5.61,22.47,6.23,9,9,7.46,0.94,401,0.48,4.65,16.53,0.93,52.43
S19分组结果-RF-中证500-M-2,9.69,-8.61,-5.16,33.60,9.50,12,18,6.23,1.52,397,0.40,4.87,25.04,1.56,53.51
S19分组结果-RF-沪深300-M-2,-3.02,-26.82,-23.55,11.60,-1.83,9,9,7.44,-0.37,5,0.48,-1.89,6.81,-0.41,49.34
S19分组结果-LogiR-全市场,19.42,-7.11,-3.70,48.87,19.65,17,10,6.95,2.59,244,0.45,15.74,42.00,2.79,56.75
S19分组结果-LogiR-中证500,16.90,-10.45,-1.84,42.04,16.84,12,8,9.42,1.71,119,0.60,14.04,32.75,1.79,53.97
S19分组结果-LogiR-沪深300,8.26,-18.25,-11.96,37.96,10.10,9,11,9.75,0.86,313,0.62,8.85,26.67,0.85,52.65
S19分组结果-LogiR-中证500-M2,20.51,-16.71,-15.04,51.20,23.73,11,8,9.07,2.10,91,0.58,25.08,41.70,2.26,54.73
S19分组结果-LogiR-沪深300-M2,13.61,-17.76,-15.18,69.19,13.51,12,12,10.73,1.24,375,0.69,8.02,41.47,1.27,54.32
S19分组结果-LogiR-中证500-M-2,18.59,-14.54,-12.76,59.98,20.69,11,13,9.38,1.87,111,0.60,16.63,44.18,1.98,54.83
S19分组结果-LogiR-沪深300-M-2,9.55,-19.50,-17.61,69.56,11.25,14,9,11.86,0.83,178,0.76,4.44,45.66,0.81,52.32
S19分组结果-NB-全市场,18.51,-9.83,-3.42,42.72,19.15,16,10,7.64,2.26,238,0.49,16.13,35.90,2.42,54.90
S19分组结果-NB-中证500,12.01,-13.76,-4.47,40.27,12.51,11,12,10.35,1.15,179,0.66,9.87,26.29,1.16,52.19
S19分组结果-NB-沪深300,6.67,-18.11,-10.58,24.11,6.10,11,8,10.31,0.68,457,0.66,5.88,15.81,0.65,50.79
S19分组结果-NB-中证500-M2,16.22,-14.05,-7.59,41.10,17.32,11,15,9.29,1.67,112,0.59,18.60,31.93,1.75,53.61
S19分组结果-NB-沪深300-M2,11.55,-16.85,-15.83,45.19,10.93,10,11,9.88,1.16,155,0.63,9.05,29.99,1.17,51.12
S19分组结果-NB-中证500-M-2,14.64,-15.33,-9.13,50.67,16.64,10,9,9.45,1.49,196,0.61,12.03,39.97,1.55,54.17
S19分组结果-NB-沪深300-M-2,1.96,-31.97,-25.84,40.91,2.06,12,9,11.08,0.23,176,0.71,1.10,22.10,0.18,50.53
S19分组结果-XGB-全市场,15.61,-8.00,-2.44,41.83,15.74,16,10,6.39,2.30,199,0.41,12.93,32.98,2.44,56.89
S19分组结果-XGB-中证500,10.65,-9.53,-4.91,29.20,9.91,13,11,7.68,1.36,291,0.49,6.89,24.23,1.39,53.51
S19分组结果-XGB-沪深300,0.73,-19.80,-13.34,17.10,2.15,14,14,8.75,0.13,519,0.56,2.18,9.90,0.08,48.41
S19分组结果-XGB-中证500-M2,19.26,-13.30,-12.34,56.78,22.02,9,10,7.76,2.31,87,0.50,15.86,43.56,2.48,54.67
S19分组结果-XGB-沪深300-M2,11.83,-15.54,-5.69,42.71,10.89,9,13,8.74,1.32,197,0.56,9.61,23.21,1.35,54.00
S19分组结果-XGB-中证500-M-2,12.64,-17.03,-13.61,49.19,13.66,10,9,8.77,1.40,148,0.56,7.65,37.88,1.44,53.64
S19分组结果-XGB-沪深300-M-2,1.21,-28.18,-20.03,31.84,1.14,11,9,9.59,0.17,273,0.61,-2.14,21.67,0.13,51.72
S19分组结果-SGD-全市场,6.94,-13.12,-7.70,22.27,7.15,9,11,6.05,1.14,290,0.39,6.82,15.64,1.15,53.38
S19分组结果-SGD-中证500,0.60,-16.90,-15.37,12.87,1.62,8,14,8.62,0.11,1270,0.55,2.88,7.57,0.07,49.14
S19分组结果-SGD-沪深300,2.05,-33.11,-18.94,34.23,2.82,10,12,10.72,0.24,399,0.69,1.33,23.00,0.19,50.46
S19分组结果-SGD-中证500-M2,6.67,-14.66,-11.71,23.04,5.70,12,11,8.84,0.78,347,0.57,6.48,14.63,0.75,51.18
S19分组结果-SGD-沪深300-M2,3.82,-38.88,-35.19,43.60,3.13,11,13,11.01,0.40,1334,0.70,4.60,17.35,0.35,51.95
S19分组结果-SGD-中证500-M-2,1.86,-17.07,-13.36,21.19,1.91,9,12,9.03,0.25,219,0.58,0.94,11.03,0.21,50.07
S19分组结果-SGD-沪深300-M-2,-4.03,-39.94,-24.55,22.87,-5.42,13,11,10.21,-0.35,76,0.65,-6.87,10.64,-0.39,47.02
S19分组结果-XGB_R-全市场,14.59,-9.53,-5.99,36.07,14.19,14,12,7.79,1.79,198,0.50,12.28,28.46,1.87,53.25
S19分组结果-XGB_R-中证500,7.63,-12.36,-9.11,32.43,6.35,12,9,9.40,0.83,457,0.60,3.88,19.29,0.81,51.26
S19分组结果-XGB_R-沪深300,4.04,-20.29,-19.65,22.37,3.46,10,8,11.25,0.41,350,0.72,4.37,12.64,0.36,52.19
S19分组结果-XGB_R-中证500-M2,10.12,-20.33,-17.78,45.31,12.01,11,8,10.63,0.96,245,0.68,12.74,26.69,0.95,51.78
S19分组结果-XGB_R-沪深300-M2,0.56,-37.61,-28.63,32.65,0.96,15,9,12.32,0.11,170,0.79,3.77,18.25,0.05,48.88
S19分组结果-XGB_R-中证500-M-2,8.64,-16.91,-15.83,40.96,8.06,9,8,10.41,0.85,186,0.67,7.80,20.67,0.83,51.79
S19分组结果-XGB_R-沪深300-M-2,-0.79,-40.66,-30.58,26.81,-2.04,9,9,11.66,-0.01,220,0.75,-2.89,15.26,-0.07,49.54
S19分组结果-gcf-全市场,18.67,-8.01,-0.79,48.76,18.99,14,10,6.86,2.53,172,0.44,15.23,39.11,2.72,58.34
S19分组结果-gcf-中证500,14.31,-13.05,-7.15,39.13,14.04,17,14,9.05,1.53,124,0.58,9.22,31.62,1.58,53.97
S19分组结果-gcf-沪深300,9.15,-17.20,-10.68,43.38,11.12,9,8,9.49,0.97,414,0.61,9.73,29.39,0.96,51.59
