x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
apb-1d-全市场,20.08,-7.44,3.21,34.61,20.61,14,9,4.76,3.87,76,0.30,21.36,28.76,4.22,61.15
apb-1d-中证500,20.67,-11.37,-7.81,39.91,20.66,14,10,6.44,2.95,312,0.41,22.36,31.59,3.21,58.77
apb-1d-沪深300,11.57,-15.79,-13.39,32.43,11.60,11,9,7.24,1.55,484,0.46,11.66,21.71,1.60,55.94
apb-5d-全市场,23.62,-6.39,5.46,49.64,24.11,17,11,6.65,3.22,83,0.43,23.31,34.01,3.55,57.19
apb-5d-中证500,16.50,-12.41,-12.15,50.92,15.79,11,10,7.84,1.99,350,0.50,15.79,29.61,2.10,54.03
apb-5d-沪深300,12.55,-13.86,-11.10,36.29,13.96,13,8,8.22,1.48,212,0.53,15.55,21.53,1.53,52.79
apb-1m-全市场,17.57,-7.37,1.08,35.16,18.72,13,9,6.00,2.73,102,0.38,18.58,27.89,2.93,57.13
apb-1m-中证500,9.62,-17.11,-11.16,42.28,9.82,17,10,7.38,1.28,396,0.47,7.17,24.99,1.30,53.70
apb-1m-沪深300,11.63,-8.43,-6.86,43.54,12.47,11,11,7.68,1.47,241,0.49,11.69,20.19,1.51,53.14
