x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
因子01-全市场,13.84,-7.67,1.60,30.72,15.20,13,9,4.18,3.12,73,0.27,15.57,25.79,3.31,58.89
因子01-中证500,13.05,-13.74,-11.37,36.11,16.19,15,8,6.21,2.01,123,0.40,17.48,29.47,2.10,55.47
因子01-沪深300,6.97,-10.64,-5.07,20.69,7.01,10,12,6.68,1.04,235,0.43,6.61,14.59,1.04,53.17
因子02-全市场,8.96,-6.23,-4.92,24.64,10.26,13,9,3.87,2.24,89,0.25,10.45,19.08,2.32,55.97
因子02-中证500,3.64,-10.70,-9.26,15.52,4.60,9,9,5.95,0.63,348,0.38,5.55,12.81,0.61,51.37
因子02-沪深300,3.92,-12.67,-9.84,27.30,5.38,9,7,6.37,0.64,484,0.41,4.40,19.82,0.62,52.49
因子03-全市场,14.95,-6.22,-3.87,36.97,16.81,13,16,4.21,3.33,75,0.27,17.18,28.45,3.55,58.77
因子03-中证500,8.95,-13.41,-10.75,29.61,10.94,11,9,6.07,1.44,102,0.39,13.10,22.83,1.47,54.10
因子03-沪深300,7.18,-8.68,-6.24,27.93,8.03,12,9,6.47,1.10,344,0.41,6.25,19.89,1.11,54.23
因子04-全市场,14.83,-6.20,-4.21,37.26,16.70,13,16,4.22,3.30,71,0.27,17.16,28.91,3.51,58.89
因子04-中证500,9.29,-13.50,-10.73,29.91,11.45,11,9,6.04,1.50,100,0.39,13.97,23.18,1.54,54.66
因子04-沪深300,7.48,-7.89,-5.49,26.99,8.36,15,9,6.52,1.14,336,0.42,6.69,20.40,1.15,54.85
因子05-全市场,16.33,-11.85,0.89,35.99,18.18,15,9,4.92,3.10,147,0.31,18.56,27.70,3.32,61.07
因子05-中证500,13.04,-14.68,-5.37,40.79,15.70,16,10,6.83,1.83,125,0.44,17.04,29.12,1.91,55.85
因子05-沪深300,6.79,-10.28,-3.83,20.32,7.75,8,11,6.67,1.02,184,0.43,7.47,14.10,1.02,52.74
文献1综合因子-全市场,13.78,-10.48,0.28,35.93,15.79,13,13,4.28,3.04,130,0.27,14.11,28.93,3.22,58.02
文献1综合因子-中证500,13.35,-11.59,-4.89,46.45,16.20,12,8,6.51,1.96,306,0.42,15.52,34.81,2.05,54.85
文献1综合因子-沪深300,9.26,-10.18,-5.43,34.19,8.45,13,11,6.60,1.38,353,0.42,7.47,20.70,1.40,53.36
因子07-全市场,14.62,-11.84,-0.83,40.43,16.69,13,9,4.70,2.93,121,0.30,16.23,28.13,3.11,59.51
因子07-中证500,11.26,-13.86,-0.52,38.17,13.50,9,9,6.62,1.65,245,0.42,12.56,26.57,1.70,54.29
因子07-沪深300,7.85,-8.59,-3.82,36.84,8.94,10,10,6.63,1.17,175,0.42,5.64,27.51,1.18,51.62
因子08-全市场,9.80,-7.52,-6.70,29.30,11.68,10,11,5.33,1.78,84,0.34,11.40,20.25,1.84,52.74
因子08-中证500,4.66,-12.66,-12.54,27.16,6.24,8,10,6.92,0.69,428,0.44,6.14,17.44,0.67,49.63
因子08-沪深300,8.49,-6.17,-3.59,35.08,9.69,9,11,7.00,1.20,203,0.45,8.26,23.53,1.21,52.80
因子09-全市场,18.29,-8.18,-1.62,43.22,19.98,13,12,5.36,3.16,207,0.34,20.21,35.01,3.41,55.85
因子09-中证500,7.84,-17.33,-14.34,43.98,9.66,14,10,7.03,1.11,248,0.45,9.16,28.53,1.12,50.75
因子09-沪深300,12.03,-6.86,-3.72,40.44,13.14,18,11,7.09,1.64,152,0.45,12.12,23.87,1.70,52.61
因子10-全市场,21.04,-9.64,1.95,41.96,22.66,15,7,5.72,3.37,96,0.37,23.50,32.87,3.68,57.77
因子10-中证500,12.61,-7.17,-4.96,46.95,14.54,9,9,7.42,1.64,162,0.48,12.80,29.51,1.70,51.55
因子10-沪深300,12.00,-8.30,-2.69,35.37,12.74,10,8,7.66,1.52,325,0.49,12.96,20.00,1.57,52.18
因子11-全市场,19.70,-4.41,10.91,43.09,21.25,11,8,4.57,3.96,53,0.29,19.05,36.37,4.31,59.83
因子11-中证500,8.14,-9.59,-1.84,28.64,9.64,11,9,6.17,1.30,198,0.39,9.23,19.17,1.32,52.55
因子11-沪深300,10.61,-7.71,-5.44,37.33,11.63,11,11,6.86,1.51,358,0.44,10.77,19.74,1.55,52.18
因子12-全市场,22.97,-4.17,11.37,51.50,25.08,14,7,5.36,3.89,54,0.34,22.42,41.35,4.28,58.96
因子12-中证500,13.64,-7.58,-6.23,36.83,15.77,15,8,6.94,1.88,253,0.44,16.05,24.98,1.97,54.29
因子12-沪深300,13.31,-7.77,-0.55,34.92,15.75,9,10,7.61,1.68,81,0.49,13.32,26.99,1.75,54.29
文献2综合因子-全市场,25.30,-8.21,9.20,59.46,28.07,13,8,5.28,4.30,73,0.34,25.19,48.90,4.79,62.50
文献2综合因子-中证500,16.80,-10.65,2.32,49.68,19.88,15,11,6.92,2.28,115,0.44,18.90,34.71,2.43,55.29
文献2综合因子-沪深300,16.23,-6.81,5.91,42.77,17.95,10,8,7.23,2.12,126,0.46,14.86,35.30,2.24,54.29
