x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆粕0011合约,3400,3400,883,2517,0.410068388521282,-0.112011859431565,25.9705882352941,119.40078939636,14.4006399898866,8.77946980855589,208.217639152019,5.81,-14.40,-7.81,28.02,5.84,7,34,4.77,1.21,1336,0.31,5.15,15.67,1.22,25.98
郑甲醇001合约,871,871,243,628,1.13792307996231,-0.184496876804013,27.8989667049369,262.788277899215,4.63577170379611,75.42717505718,295.759503483389,43.52,-4.64,7.20,143.35,42.51,5,15,53.38,0.84,95,3.42,15.69,136.38,0.82,27.93
沪镍1507合约,682,682,189,493,0.53314307043751,-0.165359178887988,27.7126099706745,20.4773651118562,7.89245265022688,7.5063655102112,28.977821458652,6.77,-7.89,-3.47,13.59,4.06,4,23,6.65,1.02,81,0.43,3.83,8.86,1.02,27.61
郑菜油001合约,1142,1142,301,841,0.406424120165433,-0.108151558575529,26.3572679509632,36.1077942716091,3.1436618649257,7.90450837819813,52.5681205921548,6.83,-3.14,0.51,14.04,7.16,5,22,4.85,1.39,225,0.31,6.86,12.16,1.41,26.38
连棕油0801合约,2483,2483,697,1786,0.496247175600602,-0.132813477730521,28.0708819975836,191.231042452239,7.7541756673653,19.2540316605154,273.269017021884,11.09,-7.75,-2.14,26.21,10.11,8,39,5.91,1.81,214,0.38,9.65,19.07,1.88,28.08
沪铅1109合约,1651,1651,374,1277,0.449643413365788,-0.0943437549710735,22.6529376135675,59.6909737837564,4.39790185963607,9.03860899208911,88.3470645399015,7.16,-4.40,-0.13,15.72,7.05,4,22,5.12,1.38,136,0.33,6.69,12.46,1.40,22.67
连聚丙烯1405合约,945,945,265,680,0.558583965451538,-0.165963549492398,28.042328042328,41.0298193498395,3.6478761528375,10.8544495634496,55.0012273189394,9.32,-3.65,0.92,17.67,6.69,10,17,6.39,1.43,163,0.41,5.96,11.29,1.46,28.07
沪螺钢0909合约,2138,2138,542,1596,0.600778611731645,-0.129300851308818,25.3507951356408,223.457161931562,4.93572939118396,26.1292284765625,300.510694125695,14.35,-4.94,2.07,29.57,15.15,4,25,6.51,2.09,158,0.42,14.47,23.97,2.21,25.36
郑菜籽粕001合约,1091,1091,324,767,0.478476429128595,-0.15195365535958,29.6975252062328,45.7928796617905,6.56377599091485,10.4933271452315,62.5920983330558,8.85,-6.56,-3.00,15.12,8.09,5,16,5.89,1.47,251,0.38,8.41,12.38,1.50,29.72
郑菜油001合约,805,805,227,578,0.308504644351657,-0.088944458977823,28.1987577639752,20.1924793937641,3.46980693724725,6.2709563334671,30.2651859266183,5.76,-3.47,0.32,12.40,6.77,5,16,3.72,1.53,163,0.24,7.57,10.80,1.55,28.23
沪天胶0201合约,3396,3396,864,2532,0.795062434906091,-0.194710509044316,25.4416961130742,556.483035424744,10.9623784018868,40.9660656231408,821.771540976713,14.49,-10.96,-10.24,43.17,14.40,7,28,9.11,1.53,396,0.58,13.70,32.29,1.59,25.45
郑硅铁001合约,847,847,266,581,0.504666886256469,-0.181135764584024,31.404958677686,32.5578886264637,4.62327187575405,9.60976641867287,44.2701864576737,8.57,-4.62,-2.33,22.44,10.22,4,19,6.88,1.23,138,0.44,10.38,20.16,1.25,31.44
郑锰硅001合约,816,816,229,587,0.503802234456531,-0.161726444555546,28.0637254901961,21.7634665249119,7.92895644923915,6.66772871474015,32.112962293299,5.87,-7.93,-5.55,12.19,2.41,5,17,6.71,0.88,550,0.43,2.63,8.19,0.87,27.98
沪锡1507合约,682,682,220,462,0.307219531604035,-0.108313106466503,32.258064516129,18.9185009128068,3.87307652103872,6.9349343522019,27.3090859269576,6.29,-3.87,-0.38,12.41,4.91,7,14,3.97,1.56,205,0.25,4.13,10.35,1.59,32.16
郑白糖001合约,2588,2588,735,1853,0.372321089831045,-0.103467747650119,28.4003091190108,124.391979781416,6.96816576652871,12.0162267949591,190.644763831211,7.88,-6.97,-3.93,25.07,7.46,5,22,4.56,1.69,804,0.29,6.41,19.14,1.73,28.37
郑精对苯二甲酸001合约,2559,2559,654,1905,0.524868242846017,-0.125050850437527,25.5568581477139,180.556555923204,6.14682663925294,17.6393665419308,262.332118743297,10.35,-6.15,-5.01,42.35,9.76,5,21,5.99,1.67,276,0.38,7.04,24.97,1.73,25.57
连聚氯乙烯0909合约,2099,2099,546,1553,0.462716425015644,-0.133745389018767,26.0123868508814,54.7041422893639,8.54048192167606,6.51550051088184,90.8259394312372,5.18,-8.54,-5.70,24.80,4.13,4,19,5.52,0.94,519,0.35,2.55,13.29,0.94,25.98
郑强麦001合约,1137,1137,289,848,0.332992347646209,-0.103790302235545,25.4177660510114,8.07347571251224,8.10975760960332,1.7751705612384,21.0856723449705,1.55,-8.11,-7.04,13.44,2.88,5,23,4.44,0.37,258,0.28,2.10,11.07,0.35,25.35
郑强麦001合约,1328,1328,364,964,0.286256355196405,-0.0853046742974614,27.4096385542169,24.0898925549897,7.9985519806377,4.53499483339415,41.7093884512024,3.97,-8.00,-6.06,14.76,4.10,5,21,3.73,1.06,521,0.24,4.66,11.38,1.06,27.35
郑硬麦001合约,1075,1075,226,849,0.312727317594922,-0.0943889791486984,21.0232558139535,-9.35936698966836,10.6100864971048,-2.17659697434148,0.92800256492287,-2.12,-10.61,-8.80,5.13,-1.24,4,26,4.09,-0.50,NaN,0.26,-0.94,3.18,-0.52,21.04
连豆油0603合约,2920,2920,780,2140,0.441456877004986,-0.107974191065118,26.7123287671233,205.565432739323,4.32893404934527,17.5997802002845,309.132559646762,9.75,-4.33,-1.57,42.46,8.62,6,21,5.11,1.85,169,0.33,7.37,13.80,1.91,26.69
郑动力煤001合约,647,647,197,450,0.362833074545509,-0.134694244009003,30.4482225656878,11.1897803895637,4.05859262533785,4.32371730663203,18.6199745478772,3.94,-4.06,0.29,10.02,5.41,7,21,4.42,0.90,144,0.28,5.34,7.74,0.89,30.34
沪锌0707合约,2624,2624,681,1943,0.499668637024767,-0.125540030333975,25.952743902439,157.377339047219,4.95299068269093,14.9940300159316,234.567081677199,9.21,-4.95,0.30,34.19,8.79,5,29,5.81,1.55,132,0.37,6.72,18.68,1.59,25.96
