x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S19分组结果-LR-全市场,17.82,-9.58,-6.73,50.66,17.88,16,12,7.30,2.29,272,0.47,14.62,42.87,2.44,56.02
S19分组结果-LR-中证500,15.14,-12.91,-11.07,74.40,14.95,13,14,9.32,1.56,120,0.60,11.31,34.38,1.62,54.27
S19分组结果-LR-沪深300,5.39,-19.17,-16.81,31.28,5.31,10,9,10.13,0.57,269,0.65,4.80,16.31,0.53,50.32
S19分组结果-LR-中证500-M2,20.81,-19.97,-18.91,61.71,24.19,17,8,9.44,2.05,88,0.60,22.27,49.22,2.20,55.92
S19分组结果-LR-沪深300-M2,9.25,-27.08,-24.89,54.31,10.54,10,10,11.33,0.84,88,0.73,9.78,36.07,0.82,52.26
S19分组结果-LR-中证500-M-2,15.92,-22.36,-18.65,53.80,17.59,13,9,9.37,1.63,118,0.60,14.86,45.10,1.70,53.17
S19分组结果-LR-沪深300-M-2,3.43,-26.44,-22.28,42.51,3.53,10,9,12.40,0.33,104,0.79,1.86,24.10,0.28,51.62
S19分组结果-RF-全市场,6.99,-4.14,-2.12,16.13,6.54,20,15,3.38,2.02,190,0.22,6.91,12.15,2.07,53.50
S19分组结果-RF-中证500,4.91,-11.53,-10.23,16.85,5.54,11,10,6.10,0.82,249,0.39,6.96,11.92,0.81,50.52
S19分组结果-RF-沪深300,1.38,-17.66,-12.78,19.59,2.04,11,9,7.55,0.22,123,0.48,0.91,9.91,0.18,50.45
S19分组结果-RF-中证500-M2,7.22,-10.32,-4.64,30.65,8.29,11,10,6.21,1.15,236,0.40,6.30,20.25,1.16,51.74
S19分组结果-RF-沪深300-M2,7.17,-12.69,-5.61,23.37,6.57,9,9,7.42,0.97,401,0.48,4.84,17.34,0.97,52.38
S19分组结果-RF-中证500-M-2,9.91,-8.61,-5.16,33.60,9.53,12,18,6.22,1.55,397,0.40,5.34,24.96,1.59,53.50
S19分组结果-RF-沪深300-M-2,-2.79,-26.82,-23.55,11.60,-1.77,9,9,7.42,-0.34,5,0.47,-1.56,6.72,-0.38,49.35
S19分组结果-LogiR-全市场,19.45,-7.11,-3.70,48.87,19.58,17,10,6.94,2.60,244,0.44,16.13,41.86,2.80,56.74
S19分组结果-LogiR-中证500,17.03,-10.45,-1.84,42.04,16.55,12,8,9.48,1.71,119,0.61,13.56,32.44,1.80,53.95
S19分组结果-LogiR-沪深300,8.34,-18.25,-11.96,37.96,10.11,9,11,9.72,0.87,498,0.62,9.07,26.47,0.86,52.72
S19分组结果-LogiR-中证500-M2,19.97,-16.71,-15.04,51.20,22.97,11,8,9.27,2.01,91,0.59,24.48,41.58,2.16,54.47
S19分组结果-LogiR-沪深300-M2,12.41,-17.76,-15.18,69.19,13.08,12,12,10.73,1.14,375,0.69,7.52,41.22,1.16,54.00
S19分组结果-LogiR-中证500-M-2,18.48,-14.54,-12.76,59.98,20.01,11,13,9.48,1.84,111,0.61,16.24,43.92,1.95,54.79
S19分组结果-LogiR-沪深300-M-2,8.75,-19.50,-17.61,69.56,10.92,14,9,11.76,0.77,178,0.75,4.03,44.47,0.74,52.14
S19分组结果-NB-全市场,18.89,-9.83,-3.42,42.72,19.14,16,10,7.65,2.30,238,0.49,16.36,35.83,2.47,54.92
S19分组结果-NB-中证500,12.38,-13.76,-4.47,40.27,12.26,11,12,10.35,1.18,179,0.66,9.62,25.99,1.20,52.27
S19分组结果-NB-沪深300,7.47,-18.11,-10.58,24.11,6.33,11,8,10.27,0.75,457,0.66,6.25,16.25,0.73,51.04
S19分组结果-NB-中证500-M2,16.14,-14.05,-7.59,41.10,16.81,11,15,9.35,1.65,112,0.60,18.40,31.76,1.73,53.54
S19分组结果-NB-沪深300-M2,11.08,-16.85,-15.83,45.19,10.67,10,11,9.89,1.11,155,0.63,8.48,29.95,1.12,50.99
S19分组结果-NB-中证500-M-2,14.81,-15.33,-9.13,50.67,16.25,10,9,9.45,1.51,196,0.61,11.66,39.62,1.57,54.08
S19分组结果-NB-沪深300-M-2,2.26,-31.97,-25.84,40.91,1.97,12,9,11.00,0.26,176,0.70,0.67,21.95,0.21,50.39
S19分组结果-XGB-全市场,15.91,-8.00,-2.44,41.83,15.75,16,10,6.37,2.35,199,0.41,13.14,32.93,2.50,56.87
S19分组结果-XGB-中证500,10.52,-9.53,-4.91,29.20,9.61,13,11,7.79,1.33,291,0.50,6.74,24.03,1.35,53.50
S19分组结果-XGB-沪深300,0.92,-19.80,-13.34,17.10,2.11,14,14,8.77,0.15,519,0.56,1.97,9.82,0.11,48.38
S19分组结果-XGB-中证500-M2,19.09,-13.30,-12.34,56.78,21.31,9,10,7.82,2.28,87,0.50,15.63,43.46,2.44,54.76
S19分组结果-XGB-沪深300-M2,11.34,-15.54,-5.69,42.71,10.70,9,13,8.71,1.28,197,0.56,9.45,22.88,1.30,53.92
S19分组结果-XGB-中证500-M-2,13.23,-17.03,-13.61,49.19,13.30,12,9,8.86,1.45,148,0.57,7.43,37.76,1.49,53.69
S19分组结果-XGB-沪深300-M-2,1.74,-28.18,-20.03,31.84,1.42,11,9,9.55,0.23,273,0.61,-1.83,21.55,0.18,51.55
S19分组结果-SGD-全市场,7.25,-13.12,-7.70,22.27,7.19,9,11,6.03,1.19,290,0.39,7.11,15.61,1.20,53.50
S19分组结果-SGD-中证500,0.81,-16.90,-15.37,12.87,1.57,8,14,8.68,0.14,1270,0.56,2.76,7.53,0.09,49.09
S19分组结果-SGD-沪深300,1.91,-33.11,-18.94,34.23,2.65,10,12,10.65,0.23,399,0.68,0.38,22.93,0.18,50.52
S19分组结果-SGD-中证500-M2,7.19,-14.66,-11.71,23.04,5.97,12,11,8.81,0.83,347,0.56,7.03,15.40,0.82,51.39
S19分组结果-SGD-沪深300-M2,3.99,-38.88,-35.19,43.60,3.43,13,13,11.00,0.41,1334,0.70,4.90,17.88,0.36,52.26
S19分组结果-SGD-中证500-M-2,2.25,-17.07,-13.36,21.19,1.68,9,12,9.09,0.29,219,0.58,0.72,10.95,0.25,50.00
S19分组结果-SGD-沪深300-M-2,-3.90,-39.94,-24.55,22.87,-4.84,13,11,10.15,-0.34,76,0.65,-6.64,13.11,-0.38,47.22
S19分组结果-XGB_R-全市场,14.98,-9.53,-5.99,36.07,14.15,14,12,7.84,1.82,198,0.50,12.46,28.29,1.91,53.30
S19分组结果-XGB_R-中证500,8.05,-12.36,-9.11,32.43,6.25,12,9,9.41,0.87,457,0.60,3.77,19.09,0.86,51.49
S19分组结果-XGB_R-沪深300,4.48,-20.29,-19.65,22.37,3.64,10,8,11.28,0.45,350,0.72,4.52,12.98,0.40,52.20
S19分组结果-XGB_R-中证500-M2,10.29,-20.33,-17.78,45.31,11.51,11,8,10.75,0.96,245,0.69,12.33,26.48,0.96,51.74
S19分组结果-XGB_R-沪深300-M2,0.85,-37.61,-28.63,32.65,0.70,15,9,12.30,0.13,170,0.79,3.44,18.10,0.07,48.90
S19分组结果-XGB_R-中证500-M-2,8.73,-16.91,-15.83,40.96,7.86,12,8,10.46,0.85,186,0.67,7.60,20.35,0.83,51.75
S19分组结果-XGB_R-沪深300-M-2,-0.85,-40.66,-30.58,26.81,-2.10,9,9,11.57,-0.02,220,0.74,-3.30,15.20,-0.07,49.55
S19分组结果-gcf-全市场,18.86,-8.01,-0.79,48.76,18.95,14,10,6.84,2.56,172,0.44,15.55,38.82,2.76,58.35
