sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
中证200-择时,17.70,-35.56,-28.79,140.07,23.08,17,11,23.78,0.80,437,1.52,17.82,68.97,0.74,53.30
中证500,12.46,-72.42,-65.56,251.29,25.25,17,10,30.56,0.54,1679,1.96,6.98,114.71,0.41,55.99
中证500-择时,14.10,-38.00,-31.09,139.62,19.82,17,11,23.39,0.68,761,1.50,12.57,62.76,0.60,53.40
中证800,10.96,-71.76,-69.85,292.94,22.56,11,10,27.08,0.52,1847,1.73,5.99,98.37,0.40,53.83
中证800-择时,17.77,-30.13,-24.61,139.56,23.81,10,9,21.13,0.88,792,1.35,13.60,74.48,0.84,53.28
中证700,11.77,-73.16,-68.27,273.41,24.68,17,10,29.71,0.52,1740,1.90,5.42,110.99,0.40,55.28
中证700-择时,13.91,-40.27,-30.68,104.09,18.49,17,12,22.32,0.70,437,1.43,15.69,51.08,0.62,53.18
中证红利,10.46,-72.13,-68.73,359.18,22.78,12,10,27.27,0.50,1850,1.75,4.61,98.13,0.38,53.49
中证红利-择时,18.73,-29.95,-24.34,144.84,24.58,12,10,20.30,0.95,1111,1.30,11.81,75.99,0.92,51.91
深证成指,6.83,-70.98,-70.31,349.16,14.85,13,10,27.43,0.38,1350,1.76,-0.78,75.66,0.25,51.66
深证成指-择时,7.90,-49.91,-37.86,116.08,11.84,13,11,21.22,0.46,1358,1.36,5.74,53.67,0.37,52.10
深证深成指R,7.19,-70.68,-70.01,353.65,15.29,13,10,27.44,0.39,1851,1.76,-0.78,76.87,0.26,51.61
深证深成指R-择时,7.43,-49.05,-38.89,122.68,11.51,13,11,21.40,0.44,1357,1.37,4.60,56.65,0.35,51.61
深证100R,12.86,-71.28,-69.90,331.76,22.76,14,10,27.68,0.58,1847,1.77,5.26,98.11,0.46,52.95
深证100R-择时,12.34,-41.26,-34.13,112.71,16.06,14,12,22.42,0.63,836,1.44,9.22,59.86,0.55,52.63
深证中小板指,14.78,-67.37,-61.09,187.97,20.92,17,10,29.46,0.62,1057,1.89,9.43,92.24,0.50,54.74
深证中小板指-择时,10.36,-33.72,-29.94,123.37,14.68,17,12,21.77,0.56,743,1.39,7.58,48.25,0.48,52.98
创业板指,10.32,-69.74,-47.31,197.24,15.13,9,9,30.94,0.47,651,1.98,-1.15,76.89,0.33,51.77
创业板指-择时,7.99,-37.63,-26.97,115.04,11.20,8,13,19.40,0.49,881,1.24,4.52,43.33,0.41,50.63
深证300,4.39,-59.03,-45.74,162.86,6.66,11,9,25.29,0.30,1053,1.62,3.07,40.82,0.17,52.44
深证300-择时,4.40,-24.43,-14.79,44.06,5.50,11,11,13.66,0.38,837,0.87,4.03,22.89,0.32,50.73
中小300,4.98,-64.46,-44.91,171.64,6.81,11,8,26.39,0.32,1041,1.69,2.61,42.35,0.19,53.42
中小300-择时,4.96,-29.97,-23.13,91.91,7.79,9,9,16.30,0.38,500,1.04,1.71,32.64,0.30,52.57
深证200,10.81,-74.01,-67.77,240.85,22.85,17,10,30.68,0.49,1723,1.96,8.16,104.16,0.35,55.41
深证200-择时,18.46,-37.80,-24.91,218.07,26.25,17,9,24.65,0.81,426,1.58,11.26,86.97,0.75,53.62
深证700,13.28,-68.97,-63.32,273.15,26.28,17,10,30.43,0.56,916,1.95,12.66,110.43,0.44,55.99
深证700-择时,18.01,-41.88,-33.20,163.43,26.63,17,9,23.48,0.82,332,1.50,13.38,88.25,0.77,53.71
深证1000,12.54,-71.92,-68.75,279.17,24.52,17,10,28.95,0.55,1738,1.85,7.09,106.56,0.43,54.88
深证1000-择时,12.88,-38.01,-29.26,113.59,18.47,17,11,22.66,0.65,554,1.45,9.47,64.20,0.57,53.63
深证创业300,18.40,-70.20,-45.70,222.28,19.69,9,8,31.34,0.70,137,2.01,8.48,75.71,0.59,52.44
深证创业300-择时,9.97,-42.74,-26.83,170.12,18.77,9,12,21.02,0.56,429,1.35,0.61,90.54,0.47,50.34
深市精选,11.27,-58.52,-43.44,156.75,7.67,10,9,25.98,0.54,22,1.66,3.31,40.63,0.43,53.88
深市精选-择时,3.71,-27.31,-18.84,50.25,5.26,10,9,14.10,0.33,68,0.90,2.02,27.01,0.26,49.68
深证中小创新,-2.22,-69.41,-44.30,54.62,-4.38,9,8,30.06,0.08,7,1.92,-7.45,25.52,-0.07,53.31
深证中小创新-择时,3.30,-23.08,-18.93,40.17,3.63,8,10,16.61,0.28,752,1.06,0.79,25.08,0.20,50.40
深证A指,8.41,-71.06,-67.62,261.56,15.32,17,10,27.15,0.43,1723,1.74,-0.02,81.03,0.31,54.28
深证A指-择时,17.12,-40.54,-31.87,138.35,22.27,17,11,22.35,0.82,715,1.43,14.08,72.85,0.77,54.02
深证B指,12.28,-72.36,-72.27,384.21,21.40,12,10,27.43,0.56,1356,1.76,3.98,98.78,0.45,53.31
深证B指-择时,18.30,-41.93,-38.25,141.73,23.06,11,10,20.36,0.93,513,1.30,18.02,62.31,0.90,51.71
深信用债,5.19,-1.48,1.59,10.41,5.47,85,7,0.75,6.79,144,0.05,5.30,9.20,6.95,76.93
深信用债-择时,2.26,-0.45,1.03,4.71,2.34,85,7,0.42,5.37,56,0.03,2.19,3.74,5.42,74.27
深公司债,5.22,-1.63,1.52,10.49,5.53,40,10,0.76,6.72,144,0.05,5.49,9.27,6.89,76.00
深公司债-择时,2.48,-0.63,1.02,6.01,2.64,29,8,0.46,5.34,56,0.03,2.22,4.77,5.40,73.32
深证ETF,8.55,-45.47,-40.15,143.84,11.69,11,9,24.00,0.46,1235,1.54,6.41,43.95,0.36,51.31
