x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
HP-全市场,11.25,-8.00,-3.28,55.48,12.68,15,10,5.30,2.04,202,0.34,10.01,33.07,2.12,55.39
HP-中证500,10.09,-8.07,-4.01,46.13,11.39,12,9,6.50,1.51,258,0.42,8.28,27.05,1.55,53.66
HP-沪深300,6.26,-9.02,-7.13,34.43,7.34,11,10,7.35,0.86,498,0.47,4.97,20.97,0.85,50.81
MA12-全市场,17.19,-10.18,-2.34,65.36,19.27,14,13,6.75,2.39,180,0.43,17.25,34.23,2.55,55.90
MA12-中证500,14.74,-12.65,-8.33,56.05,17.04,14,12,7.75,1.81,293,0.50,15.26,34.24,1.90,53.46
MA12-沪深300,6.62,-18.89,-13.32,40.17,8.45,14,9,8.81,0.77,267,0.56,7.13,20.02,0.75,51.95
MA24-全市场,18.52,-10.40,-1.03,65.48,19.64,15,8,6.74,2.56,173,0.43,17.25,39.27,2.75,55.47
MA24-中证500,16.41,-10.33,-6.34,56.41,17.62,12,11,7.43,2.08,270,0.48,15.27,37.32,2.21,55.11
MA24-沪深300,8.25,-16.61,-10.86,42.52,9.65,14,12,8.44,0.98,410,0.54,6.51,25.86,0.98,51.59
MA36-全市场,16.14,-10.83,-0.13,58.39,16.65,13,10,6.20,2.45,173,0.40,14.50,32.02,2.61,55.09
MA36-中证500,14.38,-9.69,-6.18,57.07,15.54,12,9,7.01,1.95,330,0.45,14.85,36.25,2.05,54.83
MA36-沪深300,8.83,-16.76,-10.06,44.00,9.67,10,10,7.78,1.13,267,0.50,7.65,26.79,1.14,52.27
MA48-全市场,15.21,-10.72,-0.93,53.89,15.61,13,9,6.20,2.31,194,0.40,14.33,27.06,2.45,55.46
MA48-中证500,11.99,-9.21,-7.12,50.14,12.90,13,9,7.05,1.64,280,0.45,11.91,33.83,1.70,54.15
MA48-沪深300,7.84,-16.63,-11.64,29.76,8.24,12,18,7.79,1.01,275,0.50,8.76,19.42,1.01,51.55
MA60-全市场,13.89,-9.86,-0.29,44.23,14.55,16,9,6.16,2.14,134,0.39,14.47,22.93,2.25,54.78
MA60-中证500,9.90,-10.46,-8.35,50.15,10.68,17,9,6.84,1.42,180,0.44,8.05,31.77,1.45,53.39
MA60-沪深300,6.47,-23.70,-17.20,28.46,7.72,13,10,7.68,0.86,249,0.49,10.90,17.30,0.84,51.27
