x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
发帖数量因子1-全市场,7.56,-13.09,-9.98,36.47,6.78,10,11,8.21,0.93,479,0.53,4.40,22.56,0.92,47.99
发帖数量因子1-中证500,8.14,-10.76,-3.79,26.58,8.11,10,14,7.71,1.05,171,0.49,7.12,15.37,1.06,52.31
发帖数量因子1-沪深300,4.58,-18.55,-11.87,20.38,3.66,10,13,8.49,0.57,491,0.54,4.01,13.46,0.54,50.85
发帖数量因子2-全市场,19.42,-10.40,-4.12,44.35,19.11,11,8,7.44,2.42,200,0.48,18.50,32.70,2.61,54.81
发帖数量因子2-中证500,1.88,-16.67,-12.21,15.48,1.20,9,9,9.85,0.24,371,0.63,1.06,6.97,0.19,50.79
发帖数量因子2-沪深300,6.33,-22.35,-13.28,41.25,7.42,8,8,9.39,0.70,237,0.60,5.73,30.22,0.67,52.62
