x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S34增强效果-上证综指-增强前,6.38,-52.30,-45.16,149.98,8.37,11,9,21.84,0.39,422,1.40,3.69,46.40,0.29,53.95
S34增强效果-上证综指-增强前,15.30,-40.19,-34.01,174.93,17.63,10,7,22.81,0.74,155,1.46,10.07,60.88,0.67,55.24
S34增强效果-上证综指-增强后-增强前,12.04,-17.07,-9.19,47.37,12.18,10,7,10.74,1.11,285,0.69,12.79,25.26,1.12,57.80
S34增强效果-上证50-增强前,9.14,-44.70,-38.51,132.32,11.56,19,9,23.72,0.49,440,1.52,6.53,47.69,0.39,50.68
S34增强效果-上证50-增强前,11.62,-42.77,-34.42,141.57,14.31,13,9,23.41,0.59,1116,1.50,8.88,52.29,0.50,51.14
S34增强效果-上证50-增强后-增强前,4.29,-5.75,-3.97,12.84,4.33,10,7,4.74,0.91,357,0.30,4.92,8.10,0.90,53.17
S34增强效果-中证500-增强前,9.58,-65.20,-50.23,197.62,11.79,9,7,26.70,0.48,113,1.71,4.38,45.74,0.36,54.85
S34增强效果-中证500-增强前,16.95,-58.02,-41.93,241.57,20.40,10,7,28.30,0.70,104,1.81,11.21,65.30,0.60,55.56
S34增强效果-中证500-增强后-增强前,11.72,-27.74,-18.14,77.67,12.14,11,7,14.53,0.84,506,0.93,8.84,34.40,0.81,56.27
S34增强效果-沪深300-增强前,9.25,-46.70,-42.53,147.77,11.34,12,9,23.13,0.50,436,1.48,7.75,47.07,0.40,52.46
S34增强效果-沪深300-增强前,15.30,-41.87,-36.67,157.02,17.23,12,9,23.56,0.72,1121,1.51,12.95,53.79,0.65,53.17
S34增强效果-沪深300-增强后-增强前,9.72,-11.56,-9.53,23.14,9.02,11,8,7.76,1.23,284,0.50,9.78,15.20,1.25,55.66
