x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一0303合约,3134,3134,816,2318,0.398585730471205,-0.0968421773766321,26.037013401404,170.037284614674,6.37866704870186,13.5639186833658,269.387584743496,8.05,-6.38,-4.81,33.37,8.46,5,27,4.71,1.67,448,0.30,7.80,16.94,1.71,26.05
沪白银1209合约,1376,1376,435,941,0.350275118119667,-0.101325979645337,31.6133720930233,75.3253963982075,4.45274924261583,13.6855734735115,101.176272085688,10.54,-4.45,-2.13,24.17,8.71,6,18,5.56,1.83,273,0.36,8.33,20.89,1.89,31.64
沪铝0201合约,3391,3391,854,2537,0.368018395712712,-0.0826006096483223,25.1843114125627,180.870715875055,3.58088761889019,13.3346148536608,294.206823219868,7.72,-3.58,-1.92,41.82,7.92,6,30,4.58,1.65,317,0.29,5.59,14.36,1.69,25.19
沪黄金0806合约,2427,2427,714,1713,0.240044639083949,-0.0742584080652656,29.4190358467244,54.7852419533867,2.8382064833057,5.64330881266859,97.2916916370202,4.45,-2.84,-1.42,16.61,4.44,5,19,3.16,1.39,490,0.20,3.13,11.68,1.41,29.39
连豆二0503合约,2609,2609,613,1996,0.528921103610655,-0.182703078655174,23.4955921809122,-35.6557077448185,54.1470066003233,-3.41660672142761,-16.4719163481147,-4.02,-54.15,-32.15,31.56,-2.25,6,29,8.27,-0.45,NaN,0.53,-0.92,10.23,-0.49,23.50
沪石油沥青1402合约,1028,1028,229,799,0.691505485726784,-0.164550527418094,22.2762645914397,29.1412358286429,6.75490703818067,7.08687641747153,43.1191120663452,6.29,-6.75,-5.09,15.86,6.81,4,28,7.92,0.81,184,0.51,7.30,12.72,0.79,22.30
连玉米0501合约,3228,3228,830,2398,0.284236203503927,-0.0810399248756249,25.7125154894672,50.4144375078775,6.86780421470478,3.90446387142793,107.709028559559,3.14,-6.87,-6.81,12.34,2.96,5,21,3.39,0.93,583,0.22,2.51,8.60,0.93,25.72
郑棉花001合约,2954,2954,705,2249,0.405007243751903,-0.0918728555477432,23.8659444820582,117.222643304015,5.73464255653133,9.92067055721182,191.84762065605,6.62,-5.73,-5.26,30.74,7.21,6,22,4.69,1.39,346,0.30,5.78,17.70,1.41,23.87
连玉米淀粉1503合约,740,740,204,536,0.283563498322807,-0.106391044976964,27.5675675675676,0.65658524811365,5.62937328568527,0.221819340578936,8.38724211200961,0.09,-5.63,-4.98,6.37,0.62,3,19,3.32,0.04,464,0.21,-0.63,5.04,0.03,27.47
沪铜0201合约,3390,3390,970,2420,0.4888215522866,-0.123154946294849,28.6135693215339,467.586021673464,5.46979117106331,34.4827449611699,696.481770505736,13.32,-5.47,-3.62,47.81,13.21,5,23,5.97,2.13,485,0.38,8.93,32.05,2.23,28.62
郑玻璃001合约,975,975,261,714,0.597748383919941,-0.176727579725488,26.7692307692308,33.4095812550594,7.96260561284706,8.56655929616908,47.0674389493762,7.30,-7.96,-2.69,24.88,6.57,5,32,7.11,1.03,235,0.46,3.80,19.33,1.03,26.69
