x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S52P2:dongfang-v1,26.32,-9.08,10.48,62.62,27.47,14,14,6.81,3.47,82,0.44,25.14,41.23,3.87,58.37
S52P2:dongfang-v2,35.10,-9.75,10.07,91.81,37.96,21,10,6.97,4.36,108,0.45,32.59,61.69,5.04,62.63
S52P2:equal,18.55,-6.41,-0.20,38.35,19.73,16,9,5.96,2.89,88,0.38,19.60,29.43,3.11,56.37
S52P2:guojun,27.25,-9.54,11.42,66.37,28.43,12,14,7.05,3.46,78,0.45,25.57,43.33,3.86,58.21
S52P2:icir,25.64,-8.50,7.67,65.07,27.34,13,14,6.62,3.48,65,0.42,24.68,42.89,3.87,58.42
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
策略曲线,17.39,-67.11,-53.64,238.24,19.95,14,10,34.55,0.64,529,2.21,11.95,72.82,0.50,56.33
000906,5.63,-71.76,-69.85,160.42,5.86,11,10,27.58,0.34,1847,1.77,2.81,46.62,0.20,53.26
000905,7.87,-72.42,-65.56,197.63,9.16,17,10,31.15,0.40,1679,1.99,2.69,53.99,0.25,55.52
对冲000906,12.19,-43.65,-37.94,88.36,16.05,15,13,15.77,0.81,224,1.01,16.20,46.75,0.77,56.12
对冲000905,9.52,-27.33,-22.78,65.72,12.24,16,10,9.93,0.97,240,0.64,11.55,35.10,0.96,53.25
