sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一2101,2.99,-56.14,-31.33,75.39,2.81,14,8,17.16,0.26,911,1.10,-1.20,31.83,0.17,51.19
连豆一2101-择时,-2.26,-56.59,-33.13,44.97,-1.72,11,9,11.61,-0.14,819,0.74,-2.47,10.25,-0.20,49.40
沪白银2012,-5.25,-68.70,-43.37,46.93,-5.72,11,8,23.60,-0.11,72,1.51,-8.89,17.31,-0.22,49.24
沪白银2012-择时,0.29,-33.62,-17.72,24.42,-1.11,8,12,13.04,0.09,70,0.83,-0.53,11.07,0.02,47.76
沪铝2012,-2.40,-69.92,-44.32,52.46,-2.28,9,10,14.89,-0.09,477,0.95,-4.54,15.73,-0.16,49.93
沪铝2012-择时,3.98,-28.16,-19.16,35.14,4.24,10,10,10.00,0.44,1027,0.64,2.78,16.64,0.40,50.79
郑苹果101,0.85,-43.01,-34.78,59.28,8.82,6,10,25.64,0.16,148,1.64,10.05,41.25,0.03,47.02
郑苹果101-择时,16.07,-17.88,3.58,44.02,22.24,10,8,15.59,1.04,223,1.00,24.35,34.36,1.03,51.96
沪黄金2012,2.34,-48.30,-31.91,62.61,4.74,9,9,17.28,0.22,403,1.11,1.64,25.86,0.14,51.64
沪黄金2012-择时,2.97,-18.08,-16.53,49.80,3.28,8,12,10.36,0.33,601,0.66,0.25,14.21,0.29,49.79
连豆二2102,4.62,-35.17,-32.38,60.07,5.40,9,11,17.68,0.34,683,1.13,2.94,28.82,0.26,51.06
连豆二2102-择时,-2.05,-41.51,-19.67,26.38,-1.26,11,8,10.13,-0.15,873,0.65,-1.47,9.95,-0.20,50.70
连胶合板2012,17.00,-69.50,-68.49,321.66,23.95,9,7,38.53,0.61,901,2.47,17.88,98.93,0.44,52.32
连胶合板2012-择时,26.35,-21.49,-12.67,183.47,21.26,7,8,22.69,1.14,598,1.45,9.24,54.97,1.16,50.34
沪石油沥青2012,-16.55,-76.12,-55.07,45.82,-11.85,7,9,27.83,-0.51,1,1.78,-9.75,19.43,-0.59,50.03
沪石油沥青2012-择时,5.63,-33.22,-29.15,54.55,9.41,8,7,17.37,0.40,1006,1.11,9.00,33.47,0.32,49.97
连玉米2101,2.67,-33.27,-31.23,31.46,1.96,11,8,11.00,0.29,2659,0.70,2.28,14.00,0.24,50.54
连玉米2101-择时,2.43,-13.05,-9.61,16.28,2.09,9,10,7.12,0.37,934,0.46,1.49,8.29,0.34,49.57
郑棉花101,-3.91,-68.37,-39.88,116.95,-1.25,8,9,17.10,-0.15,1563,1.09,-7.99,34.81,-0.23,49.47
郑棉花101-择时,3.55,-35.60,-31.04,63.36,4.50,9,14,12.28,0.35,905,0.79,2.66,15.26,0.29,50.30
郑红枣101,3.84,-22.21,-17.43,18.09,-7.11,6,7,19.43,0.29,53,1.24,-9.38,3.25,0.20,49.72
郑红枣101-择时,-3.85,-9.14,-7.46,-0.62,-4.79,6,6,7.62,-0.48,117,0.49,-4.66,-3.47,-0.51,46.63
连玉米淀粉2101,0.54,-32.09,-25.96,22.32,-1.01,6,7,14.40,0.11,29,0.92,-0.74,12.29,0.04,49.67
连玉米淀粉2101-择时,1.72,-12.03,-8.98,12.54,0.65,7,8,7.97,0.25,479,0.51,0.66,5.74,0.22,50.76
沪铜2012,11.29,-60.61,-48.08,197.02,15.83,8,7,22.20,0.59,641,1.42,3.96,74.23,0.51,52.62
沪铜2012-择时,6.40,-40.84,-21.74,107.62,7.94,8,10,17.15,0.45,382,1.10,3.12,34.59,0.37,49.45
郑棉纱101,-7.37,-38.11,-28.62,3.76,-10.76,8,6,16.73,-0.37,93,1.07,-11.17,1.09,-0.44,50.34
郑棉纱101-择时,-1.30,-16.59,-14.44,14.28,0.77,6,12,9.63,-0.09,143,0.62,2.85,10.22,-0.14,45.80
