sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
上证综指,4.09,-71.98,-71.12,243.93,9.68,11,9,24.21,0.29,1331,1.55,-2.40,64.49,0.17,53.02,2020-11-02
上证综指-高阶择时,12.66,-48.13,-40.77,127.37,15.44,11,11,23.18,0.63,987,1.48,12.18,47.65,0.55,51.03,做空
上证A股,4.03,-71.96,-71.10,243.73,9.61,11,9,24.21,0.28,1331,1.55,-2.40,64.37,0.17,52.98,2020-11-02
上证A股-高阶择时,12.65,-46.61,-40.86,126.88,16.91,11,11,23.26,0.63,987,1.49,12.63,51.90,0.54,50.91,做空
上证B股,9.37,-78.58,-77.21,429.65,21.39,15,9,30.40,0.45,1822,1.95,-3.49,112.81,0.31,52.48,2020-11-02
上证B股-高阶择时,9.92,-51.99,-36.95,113.76,13.70,13,11,28.95,0.47,842,1.85,10.95,39.77,0.34,50.80,做空
上证工业,4.70,-75.86,-74.09,301.59,11.25,14,8,24.95,0.31,1333,1.60,-1.81,64.86,0.19,52.87,2020-11-02
上证工业-高阶择时,12.54,-59.51,-42.77,117.18,16.11,14,12,24.31,0.61,1123,1.56,14.33,47.56,0.52,51.30,做多
上证商业,4.75,-74.81,-63.08,229.46,11.82,17,10,28.08,0.31,1740,1.80,-5.68,89.25,0.17,53.01,2020-11-02
上证商业-高阶择时,12.18,-53.65,-45.96,99.76,16.19,17,15,26.51,0.57,735,1.70,16.80,50.58,0.46,51.22,做空
上证地产,6.04,-77.31,-75.06,453.82,19.46,12,10,33.14,0.34,1859,2.12,-2.08,95.63,0.18,50.31,2020-11-02
上证地产-高阶择时,6.51,-82.45,-72.26,193.19,13.17,12,11,31.19,0.36,1963,2.00,7.14,58.23,0.21,50.13,做空
上证公用,3.59,-72.78,-65.72,296.49,11.32,11,10,26.37,0.27,1314,1.69,-4.81,67.49,0.14,51.72,2020-11-02
上证公用-高阶择时,10.82,-60.69,-52.27,190.99,14.28,9,10,25.03,0.54,1128,1.60,11.25,40.31,0.43,51.57,做空
上证综合,3.24,-68.69,-68.69,192.99,8.21,11,10,25.53,0.25,1525,1.63,-3.47,65.54,0.13,49.92,2020-11-02
上证综合-高阶择时,3.73,-62.55,-41.75,64.67,5.67,10,10,24.52,0.27,1957,1.57,3.56,34.78,0.15,49.63,做空
上证380,2.10,-63.80,-51.28,207.41,6.88,10,8,25.82,0.21,874,1.65,0.79,40.60,0.08,53.81,2020-11-02
上证380-高阶择时,2.52,-47.35,-36.02,164.69,9.94,9,9,25.03,0.22,785,1.60,-0.83,62.05,0.10,50.30,做多
上证180,5.66,-72.28,-70.98,309.33,13.12,13,10,25.52,0.34,1522,1.63,-1.41,70.08,0.22,51.61,2020-11-02
上证180-高阶择时,13.85,-45.30,-38.76,130.75,17.70,13,11,23.98,0.66,725,1.53,12.26,57.94,0.58,51.03,做空
上证基金,10.12,-58.72,-52.93,294.53,17.33,13,10,20.76,0.57,1694,1.33,3.24,68.93,0.49,50.20,2020-11-02
上证基金-高阶择时,5.85,-66.40,-53.56,85.17,8.32,13,15,19.92,0.39,1531,1.28,3.69,39.46,0.29,50.72,做空
上证国债,3.48,-10.42,-9.80,14.79,3.62,34,8,1.41,2.44,420,0.09,3.48,6.99,2.47,68.41,2020-11-02
上证国债-高阶择时,1.11,-5.93,-2.93,14.54,1.14,27,22,1.42,0.79,321,0.09,0.16,5.03,0.78,50.81,做空
上证企债,5.13,-12.32,-9.65,26.01,5.70,202,13,1.91,2.63,611,0.12,5.61,13.09,2.69,72.50,2020-11-02
上证企债-高阶择时,1.72,-7.08,-4.36,15.45,1.84,34,29,1.86,0.93,951,0.12,0.58,7.67,0.93,51.67,做多
上证红利,6.23,-74.34,-72.28,338.66,18.40,12,11,27.17,0.36,290,1.74,0.37,89.16,0.23,52.28,2020-11-02
上证红利-高阶择时,17.83,-32.87,-27.65,135.26,22.26,11,11,25.70,0.77,475,1.65,13.98,61.24,0.69,51.47,做空
上证50,7.28,-72.41,-71.54,316.73,17.58,19,9,26.57,0.40,622,1.70,1.68,80.69,0.27,50.83,2020-11-02
上证50-高阶择时,13.01,-52.68,-33.15,118.37,16.53,11,10,25.42,0.61,339,1.63,9.92,51.46,0.51,49.96,做空
上证中型企业,4.15,-71.02,-64.08,206.67,8.84,17,10,29.76,0.29,962,1.91,4.12,54.04,0.14,56.00,2020-11-02
