sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连铁矿石2101,15.21,-62.11,-49.83,177.86,26.64,9,8,32.11,0.60,751,2.06,25.86,85.01,0.47,51.03,2020-11-16
连铁矿石2101-择时,1.33,-24.02,-17.68,19.17,0.73,3,4,10.60,0.18,471,0.68,-1.23,11.97,0.13,52.40,平仓
中证2012,8.12,-51.03,-38.21,67.20,8.23,8,6,33.31,0.40,1234,2.13,6.70,39.18,0.24,52.98,2020-11-16
中证2012-择时,6.33,-12.84,-9.98,36.00,9.52,3,5,11.82,0.58,285,0.76,5.66,30.57,0.54,48.51,平仓
沪深2012,5.12,-45.89,-33.97,115.08,7.11,9,9,24.85,0.33,1019,1.59,3.64,31.55,0.21,50.27,2020-11-16
沪深2012-择时,-0.07,-39.60,-21.43,35.72,0.96,3,3,10.34,0.05,2125,0.66,-0.82,22.02,-0.01,50.50,平仓
上证2012,3.96,-44.52,-30.87,42.17,8.27,9,7,25.45,0.28,525,1.63,9.26,32.76,0.16,52.11,2020-11-16
上证2012-择时,7.40,-14.00,-11.53,34.60,9.35,3,3,10.71,0.72,372,0.69,3.42,31.40,0.69,50.38,平仓
连焦炭2101,3.20,-81.91,-46.14,264.10,13.39,16,9,27.13,0.25,1769,1.74,-7.35,115.42,0.12,49.64,2020-11-16
连焦炭2101-择时,2.74,-31.12,-25.75,24.28,3.05,3,7,11.66,0.29,154,0.75,4.82,14.48,0.23,51.33,平仓
连鸡蛋2101,-11.04,-64.55,-54.13,29.76,-7.55,10,9,20.23,-0.48,69,1.29,-6.95,14.68,-0.55,49.22,2020-11-16
连鸡蛋2101-择时,-4.39,-35.14,-16.66,12.46,-3.52,3,7,10.78,-0.36,463,0.69,-4.32,6.60,-0.41,49.32,做多
连焦煤2101,7.86,-60.38,-43.32,189.13,16.83,7,7,27.21,0.41,878,1.74,8.54,86.16,0.29,50.50,2020-11-16
连焦煤2101-择时,0.06,-34.41,-27.94,20.04,-0.25,2,5,9.75,0.05,614,0.62,-0.07,13.21,0.01,46.93,平仓
郑粳稻101,-5.61,-36.20,-23.35,18.00,-5.37,6,7,21.81,-0.16,60,1.40,-5.87,9.77,-0.26,46.07,2020-11-16
郑粳稻101-择时,-15.70,-40.07,-25.83,-4.32,-17.93,2,5,10.04,-1.65,7,0.64,-17.87,-13.64,-1.56,42.53,平仓
连聚乙烯2101,-0.41,-63.67,-55.50,102.65,0.03,9,13,21.87,0.09,54,1.40,0.46,21.29,-0.02,50.78,2020-11-16
连聚乙烯2101-择时,-2.79,-46.35,-16.94,17.02,-3.23,3,4,7.87,-0.32,6,0.50,-3.82,3.57,-0.35,48.13,平仓
郑晚籼稻011,-5.30,-34.69,-27.86,17.06,-14.88,5,9,22.61,-0.13,97,1.45,-18.15,-0.78,-0.23,46.80,2020-11-04
郑晚籼稻011-择时,-12.38,-29.56,-22.70,3.62,-11.87,2,3,9.80,-1.30,1,0.63,-10.18,1.03,-1.26,30.97,平仓
低硫燃料油2103,-27.36,-23.93,NaN,NaN,NaN,4,5,29.63,-0.94,1,1.90,NaN,NaN,-0.92,48.39,2020-11-16
低硫燃料油2103-择时,0.00,0.00,NaN,NaN,NaN,1,1,0.00,NaN,1,0.00,NaN,NaN,NaN,NaN,平仓
连豆粕2105,6.52,-45.60,-27.65,102.62,9.00,9,8,20.38,0.41,1030,1.30,6.38,31.65,0.32,50.99,2020-11-16
连豆粕2105-择时,-0.38,-29.64,-20.98,26.50,0.34,4,5,8.73,-0.00,279,0.56,0.69,8.32,-0.04,47.02,平仓
郑甲醇101,-6.10,-60.26,-42.32,58.18,-4.09,8,11,22.43,-0.17,1137,1.44,-6.90,28.62,-0.27,48.73,2020-11-16
郑甲醇101-择时,1.63,-21.62,-17.13,27.61,2.69,4,4,9.65,0.22,655,0.62,1.84,16.92,0.17,47.44,平仓
沪镍2102,-0.89,-43.98,-38.28,53.28,3.60,7,6,24.63,0.09,1056,1.58,1.57,24.93,-0.04,52.09,2020-11-16
沪镍2102-择时,1.21,-18.03,-16.53,16.26,2.47,3,4,7.99,0.19,317,0.51,2.74,11.87,0.15,53.80,平仓
20号胶2101,0.78,-30.21,-12.08,14.41,-4.11,5,8,26.65,0.16,47,1.71,-4.62,2.28,0.03,50.69,2020-11-16
20号胶2101-择时,-14.01,-21.33,-17.20,-4.81,-11.96,2,4,11.19,-1.30,20,0.72,-14.48,-5.54,-1.25,36.36,平仓
郑菜油101,0.19,-64.86,-52.33,55.23,-1.98,8,10,18.26,0.10,35,1.17,-2.97,19.24,0.01,50.09,2020-11-16
郑菜油101-择时,0.54,-17.15,-9.44,16.79,0.14,3,8,6.75,0.11,2161,0.43,-1.06,8.28,0.08,48.58,平仓
连棕油2101,-5.83,-81.00,-61.73,49.24,-6.08,13,9,22.02,-0.16,29,1.41,-10.78,26.01,-0.26,50.36,2020-11-16
连棕油2101-择时,0.05,-15.78,-15.05,11.94,0.27,3,4,6.99,0.04,1902,0.45,0.88,5.71,0.01,48.82,平仓
沪铅2012,-2.48,-46.32,-23.81,82.80,-0.25,11,10,17.36,-0.06,1374,1.11,-4.97,23.21,-0.14,49.29,2020-11-16
沪铅2012-择时,-0.52,-19.88,-14.11,11.13,0.08,2,4,6.70,-0.04,344,0.43,0.18,6.68,-0.08,49.36,平仓
郑短纤105,22.79,-10.73,NaN,NaN,NaN,1,4,27.00,0.92,1,1.73,NaN,NaN,0.84,45.83,2020-11-16
郑短纤105-择时,0.00,0.00,NaN,NaN,NaN,1,1,0.00,NaN,1,0.00,NaN,NaN,NaN,NaN,平仓
连液化石油气2012,89.81,-15.54,NaN,NaN,NaN,6,5,34.07,2.06,23,2.18,NaN,NaN,2.64,52.67,2020-11-16
连液化石油气2012-择时,-5.42,-9.21,NaN,NaN,NaN,2,4,16.96,-0.25,23,1.09,NaN,NaN,-0.32,51.35,做空
郑普麦107,-9.89,-76.61,-36.80,25.28,-7.41,7,9,16.67,-0.54,NaN,1.07,-6.71,7.71,-0.59,48.22,2020-11-04
郑普麦107-择时,-4.37,-52.03,-27.19,9.28,-4.23,3,5,7.83,-0.53,603,0.50,-3.63,2.95,-0.56,48.61,平仓
连聚丙烯2101,6.97,-36.65,-29.85,121.08,7.96,7,7,20.91,0.43,497,1.34,0.77,35.54,0.33,50.00,2020-11-16
连聚丙烯2101-择时,-1.31,-24.95,-16.99,14.05,-1.39,2,5,8.93,-0.10,26,0.57,-0.72,10.47,-0.15,46.73,做多
沪螺钢2101,1.47,-79.05,-41.19,113.91,3.54,11,10,21.43,0.18,17,1.37,-3.45,42.65,0.07,50.67,2020-11-16
沪螺钢2101-择时,-2.25,-31.99,-17.16,18.80,-2.52,3,5,9.16,-0.20,5,0.59,-3.41,5.08,-0.25,49.06,平仓
郑籼稻011,-2.72,-44.51,-23.41,56.47,-1.40,7,8,13.82,-0.13,30,0.88,-5.36,35.75,-0.20,47.27,2020-10-13
郑籼稻011-择时,-2.44,-31.59,-29.04,13.47,-1.84,4,4,7.09,-0.31,1183,0.45,-0.58,8.44,-0.34,48.31,平仓
郑菜籽粕101,6.03,-32.43,-25.40,48.33,4.99,11,10,20.44,0.39,501,1.31,4.03,22.61,0.30,50.94,2020-11-16
郑菜籽粕101-择时,-1.64,-28.49,-22.62,11.90,-2.86,3,5,9.73,-0.12,321,0.62,-2.26,5.21,-0.17,47.70,平仓
连粳米2101,-9.72,-13.78,-12.94,-8.77,-11.15,6,9,9.59,-1.02,NaN,0.61,-11.01,-9.78,-1.01,44.88,2020-11-16
连粳米2101-择时,-3.29,-7.11,-3.71,-1.60,-2.78,3,3,7.38,-0.42,72,0.47,-2.71,-1.89,-0.45,42.27,做多
郑油菜籽011,2.58,-34.83,-31.59,50.94,-0.32,8,10,22.83,0.23,438,1.46,-1.62,30.55,0.11,48.66,2020-11-02
郑油菜籽011-择时,-16.95,-64.10,-39.24,11.60,-16.97,3,5,12.93,-1.37,75,0.83,-18.57,-1.43,-1.31,43.37,平仓
沪天胶2101,-4.70,-92.39,-55.07,116.08,-2.33,9,10,27.99,-0.03,1085,1.79,-9.11,43.37,-0.17,50.88,2020-11-16
沪天胶2101-择时,-1.48,-57.10,-24.49,32.69,-0.58,3,5,9.73,-0.10,237,0.62,-0.39,14.50,-0.15,45.86,平仓
郑纯碱101,-22.54,-29.48,NaN,NaN,NaN,4,6,20.59,-1.14,21,1.32,NaN,NaN,-1.09,46.08,2020-11-16
郑纯碱101-择时,6.44,-4.46,NaN,NaN,NaN,2,3,11.60,0.60,58,0.74,NaN,NaN,0.56,47.54,平仓
中质含硫原油2101,-29.97,-74.34,-62.53,27.19,-25.78,7,9,33.31,-0.90,28,2.13,-23.68,3.08,-0.90,49.02,2020-11-16
中质含硫原油2101-择时,7.70,-6.92,1.27,21.79,12.13,2,2,9.44,0.83,131,0.60,11.71,17.53,0.82,59.46,做多
郑硅铁101,-1.31,-41.34,-37.63,65.27,1.88,13,7,22.49,0.05,736,1.44,-4.19,44.60,-0.06,50.89,2020-11-16
郑硅铁101-择时,-15.75,-63.98,-30.23,7.43,-13.78,4,4,13.18,-1.23,1,0.84,-14.54,-5.37,-1.20,41.71,平仓
郑锰硅101,11.36,-45.29,-44.34,185.90,25.59,11,8,23.92,0.57,391,1.53,13.35,70.74,0.47,50.61,2020-11-16
郑锰硅101-择时,-8.02,-49.22,-35.14,23.02,-7.41,3,4,12.69,-0.60,153,0.81,-7.14,10.60,-0.63,43.52,做多
沪锡2101,3.10,-35.80,-27.55,79.09,6.06,8,9,18.31,0.26,329,1.17,-1.90,30.60,0.17,49.63,2020-11-16
沪锡2101-择时,-1.46,-30.80,-29.74,11.23,-0.62,3,4,8.00,-0.14,228,0.51,3.82,9.46,-0.18,51.70,平仓
沪纸浆2101,-11.80,-27.25,-22.05,-3.17,-13.47,7,5,14.03,-0.83,37,0.90,-12.99,-7.95,-0.84,48.67,2020-11-16
沪纸浆2101-择时,-3.96,-12.17,-7.33,3.91,-2.00,2,3,8.07,-0.46,77,0.52,-2.29,1.83,-0.49,46.73,做多
郑白糖101,-3.81,-68.70,-47.39,57.31,-1.13,11,9,17.84,-0.13,4,1.14,-2.32,19.89,-0.21,49.79,2020-11-16
郑白糖101-择时,0.18,-27.86,-13.16,24.94,0.26,3,5,6.81,0.06,616,0.44,-2.34,12.13,0.03,48.12,平仓
沪不锈钢2101,-11.75,-25.49,-10.83,-1.63,-6.71,7,6,18.73,-0.58,4,1.20,-7.23,-3.46,-0.63,48.29,2020-11-16
沪不锈钢2101-择时,10.21,-4.03,7.30,11.54,10.21,2,5,8.96,1.13,74,0.57,10.25,11.54,1.14,45.57,平仓
10年期国债期货2012,1.55,-7.55,-5.94,9.28,2.01,7,7,4.25,0.38,679,0.27,2.21,6.38,0.36,51.00,2020-11-16
10年期国债期货2012-择时,1.40,-1.53,-0.63,6.15,1.72,2,2,1.76,0.80,416,0.11,1.01,5.03,0.80,54.47,平仓
郑PTA101,-6.36,-68.98,-50.87,69.40,-2.43,10,9,20.86,-0.21,633,1.34,-3.86,23.86,-0.30,49.91,2020-11-16
郑PTA101-择时,0.76,-20.90,-13.16,23.95,1.63,4,4,8.94,0.13,1335,0.57,1.27,12.67,0.08,48.38,平仓
5年期国债期货2012,0.55,-5.42,-4.83,7.77,1.23,13,9,3.03,0.20,793,0.19,1.63,3.88,0.18,51.86,2020-11-16
5年期国债期货2012-择时,1.60,-0.98,-0.39,4.94,1.60,3,3,1.30,1.23,435,0.08,0.91,3.87,1.23,61.44,平仓
2年期国债期货2012,1.16,-2.32,0.60,3.68,1.59,7,7,1.13,1.03,77,0.07,1.47,2.75,1.03,53.94,2020-11-16
2年期国债期货2012-择时,0.50,-0.45,0.09,1.34,0.66,2,3,0.50,0.99,120,0.03,0.86,1.02,0.99,54.62,平仓
郑尿素101,11.63,-12.99,-3.49,18.48,4.60,6,10,18.37,0.69,217,1.18,3.32,13.06,0.63,53.26,2020-11-16
郑尿素101-择时,-5.07,-11.64,-7.84,-4.22,-6.47,2,3,8.52,-0.57,46,0.55,-6.68,-5.31,-0.60,39.22,平仓
连PVC2101,-1.86,-65.64,-36.90,86.89,-1.92,9,9,17.10,-0.02,35,1.09,-4.87,21.58,-0.11,49.22,2020-11-16
连PVC2101-择时,3.73,-17.93,-13.01,24.96,3.88,2,4,7.48,0.53,1176,0.48,3.47,14.04,0.50,49.22,做多
郑强麦101,-5.72,-67.86,-35.51,24.45,-5.31,12,9,11.52,-0.45,228,0.74,-4.95,8.60,-0.50,50.09,2020-11-16
郑强麦101-择时,-0.12,-35.52,-17.46,23.94,0.11,4,6,6.28,0.01,279,0.40,-0.61,11.07,-0.02,47.93,平仓
沪线材2102,9.00,-70.58,-43.70,105.01,13.03,11,8,20.96,0.51,2131,1.34,2.71,59.32,0.43,51.54,2020-11-16
沪线材2102-择时,1.83,-22.73,-19.03,25.03,1.59,3,3,6.12,0.33,2113,0.39,0.86,11.58,0.30,49.61,平仓
连豆油2101,-1.02,-79.06,-56.54,124.49,-0.46,11,8,19.19,0.04,95,1.23,-6.35,30.25,-0.05,50.58,2020-11-16
连豆油2101-择时,-0.22,-15.13,-9.78,10.13,-0.11,3,4,5.68,-0.01,2297,0.36,-0.11,6.00,-0.04,49.80,平仓
郑动力煤101,8.10,-54.41,-39.66,95.16,12.34,7,11,18.42,0.52,803,1.18,4.46,65.97,0.44,49.76,2020-11-16
郑动力煤101-择时,-3.92,-28.78,-17.23,16.57,-3.39,3,4,8.64,-0.42,520,0.55,-5.30,5.44,-0.45,49.38,平仓
沪锌2012,-3.33,-78.99,-70.65,97.19,0.52,8,7,23.38,-0.03,7,1.50,-1.23,45.33,-0.14,51.28,2020-11-16
沪锌2012-择时,-0.98,-32.92,-19.77,14.22,-0.06,2,4,6.69,-0.11,672,0.43,1.03,7.50,-0.15,50.94,平仓
