x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
全市场,7.07,-5.03,-3.67,30.10,7.83,12,9,3.68,1.87,185,0.24,6.34,15.93,1.92,57.74
中证500,8.75,-5.30,-2.37,36.73,9.65,12,8,4.17,2.03,184,0.27,7.36,17.73,2.10,56.77
沪深300,8.78,-5.59,-1.85,31.94,9.62,11,11,3.94,2.16,264,0.25,8.46,17.86,2.23,57.03
中证800,8.77,-5.30,-1.82,34.89,9.63,11,7,3.99,2.13,139,0.26,8.35,17.68,2.20,57.78
