sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
中证流通-择时,22.52,-35.14,-30.97,179.70,30.19,17,12,27.74,0.87,446,1.78,16.11,97.96,0.81,54.28,做空
中证100,9.36,-71.72,-70.94,324.66,18.17,13,10,25.81,0.48,513,1.65,1.57,79.25,0.36,51.85,2020-11-02
中证100-择时,11.65,-40.64,-35.93,188.75,17.69,11,12,25.81,0.56,920,1.65,10.23,52.32,0.45,51.41,做多
中证200,10.94,-73.77,-70.47,304.97,24.23,17,10,29.33,0.50,1763,1.88,4.82,110.64,0.37,54.45,2020-11-02
中证200-择时,23.78,-47.48,-37.17,248.76,35.53,17,11,29.30,0.88,437,1.88,19.30,98.76,0.81,53.62,做空
中证500,12.27,-72.42,-65.56,251.29,25.25,17,10,30.59,0.53,1679,1.96,6.81,114.74,0.40,56.01,2020-11-02
中证500-择时,17.66,-59.26,-42.00,273.61,30.66,17,11,30.58,0.69,775,1.96,12.01,94.18,0.58,54.03,做空
中证800,10.75,-71.76,-69.85,292.94,22.55,11,10,27.10,0.51,1847,1.73,5.97,98.79,0.40,53.81,2020-11-02
中证800-择时,23.41,-34.64,-25.55,190.69,33.13,10,9,27.07,0.91,795,1.73,13.03,109.33,0.86,53.32,做空
中证700,11.59,-73.16,-68.27,273.41,24.66,17,10,29.73,0.52,1740,1.90,5.37,111.05,0.39,55.25,2020-11-02
中证700-择时,18.54,-55.12,-42.05,209.83,28.67,17,11,29.72,0.72,438,1.90,16.21,86.35,0.62,53.43,做空
中证红利,10.04,-72.13,-68.73,359.18,22.82,12,10,27.29,0.49,1850,1.75,4.53,98.46,0.37,53.43,2020-11-02
中证红利-择时,21.04,-37.43,-30.01,217.95,29.74,12,11,27.27,0.84,501,1.75,12.93,90.21,0.77,53.41,做空
深证成指,6.65,-70.98,-70.31,349.16,14.80,13,10,27.45,0.37,1350,1.76,-0.88,75.82,0.24,51.65,2020-11-02
深证成指-择时,11.53,-61.50,-43.14,202.66,19.24,13,11,27.44,0.54,1358,1.76,5.93,73.44,0.42,52.42,做多
深证深成指R,7.01,-70.68,-70.01,353.65,15.23,13,10,27.46,0.38,1851,1.76,-0.83,76.94,0.26,51.60,2020-11-02
深证深成指R-择时,11.35,-59.54,-43.74,204.38,19.15,13,11,27.45,0.53,1357,1.76,6.90,73.45,0.41,52.03,做多
深证100R,12.63,-71.28,-69.90,331.76,22.70,14,10,27.70,0.57,1847,1.77,5.14,98.19,0.46,52.94,2020-11-02
深证100R-择时,17.76,-46.49,-38.61,194.13,24.94,14,12,27.68,0.73,1220,1.77,12.30,82.40,0.64,52.75,做多
深证中小板指,14.68,-67.37,-61.09,187.97,20.84,17,10,29.48,0.61,1057,1.89,9.32,92.57,0.50,54.73,2020-11-02
深证中小板指-择时,14.82,-46.10,-35.61,179.83,25.43,17,12,29.48,0.62,729,1.89,7.13,103.13,0.50,53.21,做多
创业板指,10.16,-69.74,-47.31,197.24,14.93,9,9,30.95,0.47,651,1.98,-1.39,76.96,0.33,51.70,2020-11-02
创业板指-择时,9.16,-53.50,-42.55,304.72,20.01,9,13,30.96,0.44,727,1.98,3.23,90.87,0.30,51.23,做多
深证300,4.03,-59.03,-45.74,162.86,6.51,11,9,25.31,0.28,1053,1.62,2.95,40.43,0.16,52.41,2020-11-02
深证300-择时,-0.17,-49.82,-45.02,107.04,5.23,10,11,25.31,0.12,824,1.62,-0.88,34.06,-0.01,51.52,做多
中小300,4.78,-64.46,-44.91,171.64,6.65,11,8,26.41,0.31,1041,1.69,2.48,41.50,0.18,53.39,2020-11-02
中小300-择时,8.52,-42.94,-36.01,192.93,16.21,9,10,26.41,0.44,490,1.69,5.23,67.53,0.32,52.66,做空
深证200,10.57,-74.01,-67.77,240.85,22.82,17,10,30.70,0.48,1723,1.97,7.93,104.32,0.34,55.40,2020-11-02
深证200-择时,23.49,-50.84,-37.75,268.42,38.47,17,9,30.67,0.84,732,1.96,12.23,140.08,0.77,53.81,做空
深证700,13.16,-68.97,-63.32,273.15,26.27,17,10,30.45,0.56,916,1.95,12.55,111.00,0.43,55.98,2020-11-02
深证700-择时,23.86,-46.51,-37.98,272.88,36.34,17,9,30.43,0.86,340,1.95,19.02,111.61,0.78,54.08,做空
深证1000,12.33,-71.92,-68.75,279.17,24.48,17,10,28.97,0.55,1738,1.85,6.98,106.58,0.43,54.86,2020-11-02
深证1000-择时,18.59,-47.95,-34.54,185.37,29.64,17,11,28.95,0.73,508,1.85,12.23,99.27,0.64,54.03,做空
