sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证综指,4.09,-71.98,-71.12,243.93,9.68,11,9,24.21,0.29,1331,1.55,-2.40,64.49,0.17,53.02
上证综指-择时,15.44,-28.43,-19.08,147.49,18.71,10,12,19.83,0.82,973,1.27,12.15,53.72,0.78,53.28
上证A股,4.03,-71.96,-71.10,243.73,9.61,11,9,24.21,0.28,1331,1.55,-2.40,64.37,0.17,52.98
上证A股-择时,15.12,-27.44,-18.06,144.32,18.55,10,12,19.51,0.82,973,1.25,11.93,52.11,0.78,52.87
上证B股,9.37,-78.58,-77.21,429.65,21.39,15,9,30.40,0.45,1822,1.95,-3.49,112.81,0.31,52.48
上证B股-择时,27.41,-30.45,-29.48,218.87,33.91,15,10,25.49,1.08,929,1.63,19.50,99.81,1.08,53.63
上证工业,4.70,-75.86,-74.09,301.59,11.25,14,8,24.95,0.31,1333,1.60,-1.81,64.86,0.19,52.87
上证工业-择时,17.01,-26.59,-23.55,150.31,20.81,14,12,20.51,0.87,464,1.31,11.31,65.39,0.83,53.23
上证商业,4.75,-74.81,-63.08,229.46,11.82,17,10,28.08,0.31,1740,1.80,-5.68,89.25,0.17,53.01
上证商业-择时,23.77,-43.53,-36.43,185.03,27.47,17,9,24.32,1.00,892,1.56,21.18,72.06,0.98,54.34
上证地产,6.04,-77.31,-75.06,453.82,19.46,12,10,33.14,0.34,1859,2.12,-2.08,95.63,0.18,50.31
上证地产-择时,5.68,-53.96,-42.40,96.11,8.21,12,10,24.40,0.35,1009,1.56,6.20,40.30,0.23,50.51
上证公用,3.59,-72.78,-65.72,296.49,11.32,11,10,26.37,0.27,1314,1.69,-4.81,67.49,0.14,51.72
上证公用-择时,11.74,-35.90,-26.07,122.13,14.26,9,11,20.28,0.65,930,1.30,9.75,45.55,0.58,52.25
上证综合,3.24,-68.69,-68.69,192.99,8.21,11,10,25.53,0.25,1525,1.63,-3.47,65.54,0.13,49.92
上证综合-择时,8.27,-30.97,-24.34,105.44,10.11,11,10,19.22,0.51,973,1.23,6.39,31.30,0.43,50.99
上证380,2.10,-63.80,-51.28,207.41,6.88,10,8,25.82,0.21,874,1.65,0.79,40.60,0.08,53.81
上证380-择时,5.78,-26.62,-21.90,91.94,7.29,12,8,15.29,0.44,740,0.98,1.97,29.49,0.38,51.66
上证180,5.66,-72.28,-70.98,309.33,13.12,13,10,25.52,0.34,1522,1.63,-1.41,70.08,0.22,51.61
上证180-择时,11.64,-29.58,-19.19,96.37,14.51,13,10,18.52,0.69,546,1.19,8.46,47.83,0.63,51.98
上证基金,10.12,-58.72,-52.93,294.53,17.33,13,10,20.76,0.57,1694,1.33,3.24,68.93,0.49,50.20
上证基金-择时,9.72,-30.14,-23.31,152.86,12.61,13,12,17.35,0.62,707,1.11,5.31,34.02,0.56,52.74
上证国债,3.48,-10.42,-9.80,14.79,3.62,34,8,1.41,2.44,420,0.09,3.48,6.99,2.47,68.41
上证国债-择时,2.29,-1.64,-0.74,10.35,2.31,30,9,0.90,2.51,342,0.06,1.76,6.10,2.53,65.28
上证企债,5.13,-12.32,-9.65,26.01,5.70,202,13,1.91,2.63,611,0.12,5.61,13.09,2.69,72.50
上证企债-择时,3.88,-1.54,-0.68,12.36,3.92,202,10,1.27,3.01,159,0.08,3.34,8.42,3.06,73.24
上证红利,6.23,-74.34,-72.28,338.66,18.40,12,11,27.17,0.36,290,1.74,0.37,89.16,0.23,52.28
上证红利-择时,15.97,-26.35,-19.31,114.50,20.20,12,8,20.04,0.84,355,1.28,14.02,53.83,0.80,51.73
上证50,7.28,-72.41,-71.54,316.73,17.58,19,9,26.57,0.40,622,1.70,1.68,80.69,0.27,50.83
上证50-择时,8.83,-39.93,-23.72,82.79,11.03,11,10,18.88,0.54,339,1.21,8.13,33.19,0.47,50.32
上证中型企业,4.15,-71.02,-64.08,206.67,8.84,17,10,29.76,0.29,962,1.91,4.12,54.04,0.14,56.00
上证中型企业-择时,14.17,-27.99,-24.78,98.32,16.51,17,9,21.34,0.73,891,1.37,12.51,43.87,0.66,54.05
上证流通,2.92,-53.06,-45.89,172.08,6.54,9,8,22.61,0.24,883,1.45,2.24,39.06,0.13,52.57
上证流通-择时,6.14,-18.14,-10.69,63.57,8.36,9,9,13.59,0.51,817,0.87,4.61,31.84,0.45,49.75
上证100,11.96,-73.32,-68.00,246.92,22.71,17,11,28.76,0.54,1708,1.84,5.32,108.51,0.42,54.88
上证100-择时,17.85,-46.92,-34.39,138.73,21.86,17,14,23.32,0.82,436,1.49,13.54,70.57,0.77,53.98
上证150,9.57,-72.22,-63.14,326.39,23.05,17,10,30.94,0.45,983,1.98,4.32,114.15,0.31,56.77
上证150-择时,29.36,-39.44,-17.67,207.99,37.09,17,9,25.44,1.14,633,1.63,21.90,94.04,1.15,56.08
沪深300,7.10,-72.30,-70.85,314.32,16.75,12,10,25.91,0.39,1034,1.66,0.41,82.39,0.27,52.55
沪深300-择时,12.02,-32.80,-20.93,134.15,16.64,12,12,19.64,0.68,578,1.26,4.50,61.78,0.61,51.83
中证1000,12.70,-72.51,-65.18,288.29,26.38,17,10,31.47,0.54,929,2.01,11.10,115.91,0.40,56.50
中证1000-择时,20.15,-38.86,-34.88,162.55,26.70,17,9,26.96,0.82,792,1.73,18.76,80.58,0.75,54.68
中证流通,12.15,-71.48,-69.13,278.36,20.96,17,10,27.76,0.55,1752,1.78,3.43,102.42,0.44,55.02
中证流通-择时,17.28,-26.07,-24.63,114.80,21.71,17,12,21.44,0.85,795,1.37,16.55,67.04,0.81,54.25
中证100,9.36,-71.72,-70.94,324.66,18.17,13,10,25.81,0.48,513,1.65,1.57,79.25,0.36,51.85
中证100-择时,11.77,-27.85,-25.33,115.43,15.45,11,10,18.78,0.69,470,1.20,8.26,49.12,0.63,51.29
中证200,10.94,-73.77,-70.47,304.97,24.23,17,10,29.33,0.50,1763,1.88,4.82,110.64,0.37,54.45
中证200-择时,17.76,-35.56,-28.79,140.07,23.18,17,11,23.79,0.81,437,1.52,17.89,69.02,0.75,53.36
中证500,12.27,-72.42,-65.56,251.29,25.25,17,10,30.59,0.53,1679,1.96,6.81,114.74,0.40,56.01
中证500-择时,14.25,-38.00,-31.09,139.62,19.93,17,11,23.41,0.69,761,1.50,12.66,62.79,0.61,53.46
中证800,10.75,-71.76,-69.85,292.94,22.55,11,10,27.10,0.51,1847,1.73,5.97,98.79,0.40,53.81
中证800-择时,17.74,-29.93,-24.61,139.56,23.93,10,9,21.15,0.88,792,1.35,13.64,74.55,0.84,53.34
中证700,11.59,-73.16,-68.27,273.41,24.66,17,10,29.73,0.52,1740,1.90,5.37,111.05,0.39,55.25
