x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
买卖单Spread因子-全市场,10.43,-14.40,-6.89,26.33,10.03,16,10,6.40,1.58,304,0.41,10.25,20.22,1.63,56.56
买卖单Spread因子-中证500,9.72,-14.71,-10.58,28.12,9.97,12,11,7.30,1.31,289,0.47,9.51,20.86,1.33,53.92
买卖单Spread因子-沪深300,7.80,-13.56,-6.55,29.52,7.89,16,9,7.61,1.03,373,0.49,7.34,17.96,1.02,53.45
pareto买-全市场,4.81,-25.53,-20.40,29.57,6.98,10,16,7.40,0.67,348,0.47,8.80,19.89,0.65,52.25
pareto买-中证500,0.76,-32.94,-19.11,33.46,2.29,13,10,7.71,0.14,161,0.49,2.79,17.56,0.10,50.51
pareto买-沪深300,2.15,-17.02,-12.61,24.58,4.35,9,10,7.00,0.34,380,0.45,3.77,14.18,0.31,50.03
pareto买_adj-全市场,5.93,-24.39,-19.74,32.40,8.07,10,16,7.55,0.80,343,0.48,9.57,21.01,0.79,52.46
pareto买_adj-中证500,1.66,-32.62,-20.85,38.13,3.35,14,17,7.86,0.25,340,0.50,2.78,20.23,0.21,50.08
pareto买_adj-沪深300,1.99,-19.53,-16.18,24.44,4.07,9,10,7.20,0.31,396,0.46,3.95,13.97,0.28,49.49
pareto卖-全市场,5.96,-24.25,-19.73,29.63,7.96,11,16,7.28,0.83,306,0.47,8.17,20.99,0.82,53.11
pareto卖-中证500,0.32,-31.95,-19.79,26.09,1.65,14,10,7.76,0.08,339,0.50,1.87,13.97,0.04,50.46
pareto卖-沪深300,2.99,-15.33,-11.80,28.65,5.26,10,10,7.10,0.45,383,0.45,5.06,15.78,0.42,50.57
pareto卖_adj-全市场,7.81,-22.07,-17.88,32.34,9.59,14,16,7.46,1.05,193,0.48,9.40,23.38,1.05,52.63
pareto卖_adj-中证500,0.95,-30.67,-19.68,26.54,1.94,14,9,7.89,0.16,360,0.51,1.44,14.59,0.12,49.21
pareto卖_adj-沪深300,4.02,-15.82,-13.82,31.15,6.38,12,10,7.29,0.58,388,0.47,7.01,16.55,0.55,50.14
大买1-全市场,7.03,-14.00,-7.75,18.09,6.40,14,14,5.63,1.24,370,0.36,5.78,13.35,1.25,53.38
大买1-中证500,3.31,-17.80,-11.93,16.29,2.96,9,9,6.94,0.50,619,0.44,2.86,11.44,0.48,51.81
大买1-沪深300,9.21,-18.14,-5.55,31.06,8.25,13,14,7.30,1.24,349,0.47,7.93,14.25,1.26,53.93
大卖1-全市场,13.95,-15.18,-12.76,32.86,15.61,12,15,6.00,2.21,109,0.38,16.70,27.14,2.32,55.12
大卖1-中证500,7.15,-20.21,-15.24,23.08,8.10,10,9,7.18,1.00,191,0.46,8.67,17.14,1.00,51.33
大卖1-沪深300,5.84,-13.02,-12.05,22.31,7.16,11,9,6.90,0.86,452,0.44,7.59,16.73,0.85,52.95
大买卖差1-全市场,6.58,-12.27,-11.71,29.40,7.32,11,9,5.65,1.16,143,0.36,5.95,18.96,1.16,52.19
大买卖差1-中证500,5.54,-7.77,-6.41,21.77,5.89,8,8,7.56,0.75,249,0.48,5.13,14.52,0.73,50.41
大买卖差1-沪深300,0.68,-22.22,-14.99,29.68,1.42,7,12,7.97,0.12,260,0.51,1.15,13.10,0.08,49.70
大买卖和1-全市场,13.72,-11.68,-7.31,32.31,13.98,17,16,6.45,2.03,217,0.41,13.02,25.20,2.13,54.68
大买卖和1-中证500,9.16,-15.37,-10.84,27.36,9.47,12,15,6.88,1.31,281,0.44,10.67,18.71,1.33,52.41
大买卖和1-沪深300,9.10,-12.91,-10.23,27.05,9.81,10,12,6.69,1.34,229,0.43,10.62,20.32,1.36,54.47
大买2-全市场,7.91,-10.45,-5.12,18.78,7.21,10,11,5.57,1.40,372,0.36,7.56,13.95,1.42,53.06
大买2-中证500,4.52,-15.63,-8.73,14.35,3.57,11,10,7.05,0.66,471,0.45,2.94,10.73,0.64,51.92
大买2-沪深300,9.21,-14.14,-6.87,38.87,8.51,10,12,7.02,1.29,442,0.45,7.13,22.99,1.31,52.73
大卖2-全市场,13.68,-7.24,-5.25,28.25,14.28,22,12,4.86,2.66,219,0.31,15.22,21.32,2.81,56.47
大卖2-中证500,10.06,-11.57,-6.28,25.01,10.74,14,10,6.37,1.54,217,0.41,10.68,20.02,1.58,53.11
大卖2-沪深300,7.52,-9.12,-8.99,25.52,8.19,9,9,6.47,1.15,193,0.41,8.80,16.62,1.16,52.95
大买卖差2-全市场,4.93,-10.82,-10.62,21.78,5.37,14,11,4.92,1.00,225,0.31,4.59,13.43,1.00,52.25
大买卖差2-中证500,5.23,-7.47,-6.42,20.77,5.73,12,10,6.79,0.78,291,0.43,5.79,12.49,0.77,51.65
大买卖差2-沪深300,1.34,-16.52,-12.87,21.21,1.54,8,10,7.34,0.22,339,0.47,1.05,9.26,0.18,50.35
大买卖和2-全市场,12.82,-11.02,0.19,28.29,12.72,13,9,5.77,2.12,223,0.37,12.62,19.99,2.22,54.52
大买卖和2-中证500,8.53,-7.49,-3.47,26.22,9.20,15,7,6.68,1.26,218,0.43,9.33,16.29,1.28,52.08
大买卖和2-沪深300,9.26,-12.45,-6.31,34.30,8.97,9,12,6.55,1.39,363,0.42,8.88,19.93,1.41,52.36
买单-全市场,3.51,-16.17,-15.75,35.72,4.30,11,10,6.48,0.56,622,0.42,1.49,22.54,0.54,49.00
买单-中证500,2.74,-17.38,-11.34,35.61,3.56,11,11,8.33,0.37,534,0.53,0.48,23.28,0.33,48.46
买单-沪深300,-2.59,-33.72,-17.66,22.11,-2.17,10,12,8.23,-0.28,249,0.53,-2.37,10.12,-0.32,48.35
卖单-全市场,0.65,-24.63,-22.08,35.66,3.66,11,9,6.49,0.13,620,0.42,1.46,22.71,0.10,48.19
卖单-中证500,1.08,-24.48,-18.69,37.00,3.44,11,11,8.35,0.17,528,0.53,0.90,25.55,0.13,47.54
卖单-沪深300,-3.48,-33.98,-19.22,24.41,-2.01,8,12,8.29,-0.39,250,0.53,-1.86,11.20,-0.42,47.92
买卖单差-全市场,3.51,-16.17,-15.75,35.72,4.30,11,10,6.48,0.56,622,0.42,1.48,22.54,0.54,48.94
买卖单差-中证500,2.74,-17.38,-11.34,35.61,3.56,11,11,8.33,0.37,534,0.53,0.48,23.28,0.33,48.46
买卖单差-沪深300,-2.57,-33.72,-17.66,22.11,-2.17,10,12,8.23,-0.28,248,0.53,-2.36,10.12,-0.31,48.35
买卖单和-全市场,-6.73,-43.18,-21.10,8.59,-5.89,9,12,7.03,-0.96,3,0.45,-4.52,1.32,-0.96,47.27
买卖单和-中证500,2.42,-19.37,-14.91,20.17,3.05,12,14,7.74,0.35,1382,0.50,3.25,13.49,0.31,51.00
买卖单和-沪深300,-0.83,-33.61,-18.59,38.21,0.58,12,8,11.43,-0.02,179,0.73,-2.57,20.97,-0.07,50.03
