x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S21分组结果-LR-全市场,16.17,-15.33,-11.63,53.05,16.61,14,12,8.26,1.86,308,0.53,13.17,44.23,1.96,55.89
S21分组结果-LR-中证500,12.14,-15.93,-13.72,59.11,10.05,11,9,9.72,1.23,351,0.62,5.10,27.79,1.25,51.79
S21分组结果-LR-沪深300,1.11,-34.09,-24.03,26.09,0.30,12,9,11.04,0.16,224,0.71,-1.98,14.88,0.10,49.40
S21分组结果-LR-中证500-M2,13.22,-24.13,-19.91,55.06,13.26,11,11,10.15,1.27,251,0.65,10.49,38.83,1.30,52.78
S21分组结果-LR-沪深300-M2,2.01,-45.80,-30.59,48.37,2.49,12,8,13.00,0.22,68,0.83,-0.35,35.97,0.15,50.60
S21分组结果-RF-全市场,9.19,-5.95,-1.24,23.82,8.89,21,13,3.88,2.29,157,0.25,6.87,17.81,2.37,55.43
S21分组结果-RF-中证500,6.95,-9.94,-8.02,23.39,6.17,13,8,6.03,1.15,581,0.39,7.97,15.54,1.15,51.59
S21分组结果-RF-沪深300,1.20,-20.41,-16.52,23.80,1.57,8,9,7.69,0.19,245,0.49,2.23,13.53,0.16,50.46
S21分组结果-RF-中证500-M2,9.51,-7.61,-5.23,35.08,9.23,12,10,6.50,1.43,292,0.42,4.06,26.69,1.46,52.85
S21分组结果-RF-沪深300-M2,-0.78,-22.34,-19.18,17.24,-0.58,7,14,7.85,-0.06,732,0.50,-1.90,8.75,-0.10,50.33
S21分组结果-LogiR-全市场,15.52,-12.89,-9.46,46.54,15.75,18,11,7.74,1.91,232,0.50,12.99,38.09,2.01,55.23
S21分组结果-LogiR-中证500,11.27,-12.32,-7.96,40.46,8.71,11,9,9.75,1.15,436,0.62,6.12,26.58,1.16,52.58
S21分组结果-LogiR-沪深300,4.61,-26.73,-18.51,30.70,3.79,13,14,11.05,0.46,86,0.71,0.14,24.08,0.42,51.06
S21分组结果-LogiR-中证500-M2,12.92,-14.61,-11.64,45.87,11.98,11,7,9.69,1.30,357,0.62,6.84,34.14,1.33,52.98
S21分组结果-LogiR-沪深300-M2,4.07,-39.31,-26.01,48.25,3.57,10,8,12.05,0.39,56,0.77,-1.01,31.48,0.34,50.60
S21分组结果-NB-全市场,17.56,-10.73,-4.69,47.28,17.89,14,10,7.57,2.18,196,0.48,13.92,39.04,2.32,56.42
S21分组结果-NB-中证500,11.40,-14.32,-4.80,38.38,9.61,9,8,9.97,1.13,187,0.64,6.80,23.42,1.14,53.71
S21分组结果-NB-沪深300,3.92,-33.81,-18.68,38.07,3.58,10,8,10.78,0.41,127,0.69,-2.05,28.30,0.36,49.47
S21分组结果-NB-中证500-M2,16.43,-15.82,-10.79,53.82,16.54,11,8,9.59,1.63,113,0.61,10.84,38.84,1.71,53.51
S21分组结果-NB-沪深300-M2,4.54,-42.60,-26.23,60.75,5.40,10,10,11.67,0.44,132,0.75,-2.67,40.91,0.39,51.59
S21分组结果-XGB-全市场,14.71,-8.07,-4.63,41.87,15.18,14,11,6.80,2.05,157,0.44,11.25,36.33,2.16,55.10
S21分组结果-XGB-中证500,5.41,-14.11,-8.48,29.12,3.24,11,8,7.55,0.74,261,0.48,1.08,14.70,0.72,51.19
S21分组结果-XGB-沪深300,1.64,-20.38,-12.66,19.81,1.75,9,8,8.79,0.23,206,0.56,1.62,12.26,0.19,51.36
S21分组结果-XGB-中证500-M2,10.05,-19.45,-14.84,38.67,9.21,11,7,8.71,1.14,122,0.56,4.12,30.65,1.15,53.11
S21分组结果-XGB-沪深300-M2,0.30,-40.42,-21.22,52.85,1.49,12,9,9.99,0.08,199,0.64,-7.31,29.82,0.03,49.60
S21分组结果-SGD-全市场,12.15,-14.10,-12.47,44.07,12.57,13,10,7.05,1.66,481,0.45,7.97,30.71,1.72,54.83
S21分组结果-SGD-中证500,2.99,-16.32,-14.55,27.03,4.23,10,8,8.69,0.38,805,0.56,2.34,20.43,0.34,51.46
S21分组结果-SGD-沪深300,8.29,-13.78,-10.47,31.21,8.78,13,9,10.18,0.83,469,0.65,9.24,22.00,0.81,51.32
S21分组结果-SGD-中证500-M2,6.18,-17.34,-11.03,36.44,5.33,9,7,9.10,0.70,184,0.58,0.50,26.51,0.68,51.79
S21分组结果-SGD-沪深300-M2,3.02,-28.84,-27.53,42.65,3.47,12,9,10.45,0.34,165,0.67,3.07,23.15,0.29,50.66
S21分组结果-XGB_R-全市场,15.89,-8.34,-4.49,45.55,16.01,14,12,7.33,2.05,196,0.47,12.13,33.96,2.17,54.44
S21分组结果-XGB_R-中证500,9.54,-19.55,-12.45,56.21,8.43,11,11,9.59,1.00,100,0.61,1.74,32.78,0.99,51.76
S21分组结果-XGB_R-沪深300,-3.51,-42.94,-23.85,32.72,-4.61,8,11,10.64,-0.28,110,0.68,-8.96,10.45,-0.33,48.11
S21分组结果-XGB_R-中证500-M2,8.25,-15.92,-12.55,47.80,8.68,11,9,9.89,0.85,214,0.63,6.65,26.02,0.83,52.91
S21分组结果-XGB_R-沪深300-M2,-2.31,-36.33,-24.99,19.74,-3.41,10,9,11.09,-0.16,235,0.71,-1.95,9.83,-0.21,49.60
