sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
多空-弹簧策略-上证综指,17.00,-12.26,-8.80,62.94,20.08,12,15,7.42,2.15,360,0.47,13.75,50.22,2.29,54.40
多空-弹簧策略-沪深300,4.73,-9.92,-8.08,23.64,4.77,13,8,4.66,1.01,581,0.30,4.44,14.71,1.01,53.71
多空-弹簧策略-中证500,5.69,-14.95,-13.06,26.34,7.12,14,11,5.20,1.09,420,0.33,6.15,20.72,1.10,53.94
多空-弹簧策略-A股市场,23.99,-18.44,-13.43,119.91,30.01,13,10,8.13,2.69,202,0.52,20.79,82.95,2.95,57.73
多空-动量上涨加减速-上证综指,16.12,-15.13,-11.78,85.26,16.60,11,10,11.35,1.37,192,0.73,9.48,56.42,1.42,52.85
多空-动量上涨加减速-沪深300,7.94,-27.39,-24.54,85.69,9.86,14,11,15.98,0.56,611,1.02,5.15,42.64,0.50,51.76
多空-动量上涨加减速-中证500,8.26,-25.31,-14.73,99.24,9.77,11,9,12.85,0.68,1581,0.82,5.43,29.01,0.64,51.66
多空-动量上涨加减速-A股市场,11.87,-12.65,-11.50,61.37,12.45,15,12,9.16,1.27,231,0.59,8.25,33.93,1.30,53.48
多空-动量下跌加减速-上证综指,7.66,-24.60,-16.55,78.89,9.11,13,12,12.33,0.66,401,0.79,7.09,19.93,0.62,52.36
多空-动量下跌加减速-沪深300,3.16,-43.37,-29.49,54.88,3.65,11,12,16.21,0.27,814,1.04,3.00,26.23,0.20,50.53
多空-动量下跌加减速-中证500,6.62,-33.07,-24.77,42.48,8.48,13,10,14.29,0.52,494,0.91,8.14,29.09,0.46,51.79
多空-动量下跌加减速-A股市场,10.07,-27.66,-12.91,72.25,11.37,14,12,9.72,1.04,545,0.62,6.36,24.94,1.04,54.74
