x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S21分组结果-LR-全市场,16.37,-15.33,-11.63,53.05,16.40,14,12,8.33,1.86,308,0.53,12.27,44.18,1.96,55.76
S21分组结果-LR-中证500,12.73,-15.93,-13.72,59.11,9.84,11,9,9.74,1.28,351,0.62,4.51,27.60,1.31,51.75
S21分组结果-LR-沪深300,1.54,-34.09,-24.03,26.09,0.32,12,9,11.03,0.19,224,0.71,-1.21,14.79,0.14,49.55
S21分组结果-LR-中证500-M2,13.53,-24.13,-19.91,55.06,12.71,11,11,10.31,1.28,251,0.66,9.70,38.21,1.31,52.59
S21分组结果-LR-沪深300-M2,1.83,-45.80,-30.59,48.37,2.08,12,8,12.96,0.20,68,0.83,-1.04,35.55,0.14,50.52
S21分组结果-RF-全市场,9.18,-5.95,-1.24,23.82,8.97,21,13,3.86,2.30,157,0.25,7.00,17.72,2.38,55.38
S21分组结果-RF-中证500,7.01,-9.94,-8.02,23.39,6.36,13,8,6.01,1.16,581,0.38,8.23,15.40,1.17,51.75
S21分组结果-RF-沪深300,1.19,-20.41,-16.52,23.80,1.83,8,9,7.65,0.19,245,0.49,2.36,13.27,0.16,50.39
S21分组结果-RF-中证500-M2,9.29,-7.61,-5.23,35.08,8.97,12,10,6.49,1.40,292,0.42,3.82,26.60,1.43,52.91
S21分组结果-RF-沪深300-M2,-0.31,-22.34,-19.18,17.24,-0.51,7,14,7.83,-0.00,732,0.50,-1.47,8.65,-0.04,50.52
S21分组结果-LogiR-全市场,15.79,-12.89,-9.46,46.54,15.60,18,11,7.74,1.94,232,0.50,12.37,37.94,2.04,55.12
S21分组结果-LogiR-中证500,12.23,-12.32,-7.96,40.46,8.80,11,9,9.73,1.24,436,0.62,6.60,26.44,1.26,52.78
S21分组结果-LogiR-沪深300,5.53,-26.73,-18.51,30.70,4.12,13,14,11.11,0.54,942,0.71,1.38,24.01,0.50,51.17
S21分组结果-LogiR-中证500-M2,13.49,-14.61,-11.64,45.87,11.71,11,7,9.75,1.35,357,0.62,6.16,33.64,1.38,52.91
S21分组结果-LogiR-沪深300-M2,4.50,-39.31,-26.01,48.25,3.44,10,8,11.97,0.43,56,0.77,-1.19,31.39,0.38,50.58
S21分组结果-NB-全市场,17.75,-10.73,-4.69,47.28,17.82,14,10,7.53,2.21,196,0.48,14.24,38.83,2.36,56.48
S21分组结果-NB-中证500,11.90,-14.32,-4.80,38.38,9.56,9,8,9.91,1.18,187,0.63,6.91,23.20,1.20,54.08
S21分组结果-NB-沪深300,4.44,-33.81,-18.68,38.07,3.73,10,8,10.81,0.46,127,0.69,-1.65,27.96,0.41,49.48
S21分组结果-NB-中证500-M2,16.69,-15.82,-10.79,53.82,16.23,11,8,9.57,1.66,113,0.61,10.49,38.76,1.74,53.63
S21分组结果-NB-沪深300-M2,5.79,-42.60,-26.23,60.75,5.21,10,10,11.61,0.54,132,0.74,-2.66,40.77,0.50,51.91
S21分组结果-XGB-全市场,14.97,-8.07,-4.63,41.87,15.10,14,11,6.80,2.09,157,0.44,11.64,36.17,2.20,55.05
S21分组结果-XGB-中证500,6.24,-14.11,-8.48,29.12,3.31,11,8,7.54,0.84,767,0.48,1.24,14.56,0.83,51.81
S21分组结果-XGB-沪深300,2.24,-20.38,-12.66,19.81,1.83,9,8,8.82,0.30,206,0.56,1.84,12.12,0.25,51.46
S21分组结果-XGB-中证500-M2,10.56,-19.45,-14.84,38.67,8.98,11,7,8.74,1.19,122,0.56,3.62,30.40,1.21,52.91
S21分组结果-XGB-沪深300-M2,0.49,-40.42,-21.22,52.85,1.40,12,9,9.92,0.10,199,0.64,-6.66,29.35,0.05,49.81
S21分组结果-SGD-全市场,12.44,-14.10,-12.47,44.07,12.46,13,10,7.10,1.69,481,0.45,8.18,30.57,1.75,54.66
S21分组结果-SGD-中证500,3.22,-16.32,-14.55,27.03,4.00,10,8,8.81,0.40,805,0.56,2.00,20.31,0.37,51.30
S21分组结果-SGD-沪深300,7.56,-13.78,-10.47,31.21,8.71,13,9,10.17,0.77,469,0.65,9.08,21.81,0.74,51.17
S21分组结果-SGD-中证500-M2,6.57,-17.34,-11.03,36.44,5.27,9,7,9.23,0.74,184,0.59,0.72,26.20,0.71,51.68
S21分组结果-SGD-沪深300-M2,3.08,-28.84,-27.53,42.65,3.33,12,9,10.37,0.34,165,0.66,1.77,23.10,0.30,50.58
S21分组结果-XGB_R-全市场,15.94,-8.34,-4.49,45.55,15.87,14,12,7.38,2.04,196,0.47,11.82,33.35,2.16,54.53
S21分组结果-XGB_R-中证500,10.10,-19.55,-12.45,56.21,8.20,11,11,9.66,1.05,100,0.62,1.31,32.59,1.05,51.91
S21分组结果-XGB_R-沪深300,-3.28,-42.94,-23.85,32.72,-4.67,8,11,10.57,-0.26,110,0.68,-8.73,10.14,-0.31,48.09
S21分组结果-XGB_R-中证500-M2,8.45,-15.92,-12.55,47.80,8.44,11,9,9.95,0.87,214,0.64,6.18,25.70,0.85,52.98
S21分组结果-XGB_R-沪深300-M2,-1.84,-36.33,-24.99,19.74,-3.55,10,9,11.06,-0.11,235,0.71,-2.25,9.75,-0.17,49.68
