x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S21分组结果-LR-全市场,16.40,-15.33,-11.63,53.05,16.35,14,12,8.32,1.87,308,0.53,12.05,44.14,1.97,55.79
S21分组结果-LR-中证500,12.92,-15.93,-13.72,59.11,9.81,11,9,9.72,1.30,351,0.62,4.62,27.44,1.33,51.93
S21分组结果-LR-沪深300,1.12,-34.09,-24.03,26.09,0.35,12,9,11.01,0.16,224,0.70,-1.12,14.77,0.10,49.42
S21分组结果-LR-中证500-M2,13.55,-24.13,-19.91,55.06,12.56,11,11,10.29,1.29,251,0.66,9.57,38.05,1.32,52.57
S21分组结果-LR-沪深300-M2,1.95,-45.80,-30.59,48.37,1.98,12,8,12.94,0.21,68,0.83,-1.34,35.49,0.15,50.51
S21分组结果-RF-全市场,9.21,-5.95,-1.24,23.82,8.99,21,13,3.86,2.31,157,0.25,7.06,17.71,2.39,55.34
S21分组结果-RF-中证500,6.98,-9.94,-8.02,23.39,6.41,13,8,6.00,1.16,581,0.38,8.30,15.35,1.16,51.80
S21分组结果-RF-沪深300,1.01,-20.41,-16.52,23.80,1.89,8,9,7.64,0.17,245,0.49,2.44,13.23,0.13,50.39
S21分组结果-RF-中证500-M2,9.35,-7.61,-5.23,35.08,8.90,12,10,6.49,1.41,292,0.42,3.73,26.59,1.44,53.02
S21分组结果-RF-沪深300-M2,-0.60,-22.34,-19.18,17.24,-0.49,7,14,7.83,-0.04,732,0.50,-1.27,8.64,-0.08,50.58
S21分组结果-LogiR-全市场,15.71,-12.89,-9.46,46.54,15.56,18,11,7.73,1.93,232,0.49,11.96,37.88,2.03,55.15
S21分组结果-LogiR-中证500,12.46,-12.32,-7.96,40.46,8.86,11,9,9.72,1.26,436,0.62,6.81,26.06,1.28,52.96
S21分组结果-LogiR-沪深300,5.25,-26.73,-18.51,30.70,4.24,13,14,11.11,0.52,942,0.71,1.70,23.99,0.47,51.16
S21分组结果-LogiR-中证500-M2,13.47,-14.61,-11.64,45.87,11.66,11,7,9.73,1.35,357,0.62,6.02,33.46,1.39,52.83
S21分组结果-LogiR-沪深300-M2,4.33,-39.31,-26.01,48.25,3.42,10,8,11.97,0.41,56,0.77,-1.12,31.36,0.36,50.58
S21分组结果-NB-全市场,17.78,-10.73,-4.69,47.28,17.79,14,10,7.53,2.21,196,0.48,14.19,38.80,2.36,56.56
S21分组结果-NB-中证500,12.11,-14.32,-4.80,38.38,9.56,17,8,9.90,1.21,187,0.63,6.95,23.14,1.22,54.12
S21分组结果-NB-沪深300,4.10,-33.81,-18.68,38.07,3.78,10,8,10.81,0.43,127,0.69,-1.56,27.89,0.38,49.55
S21分组结果-NB-中证500-M2,16.72,-15.82,-10.79,53.82,16.14,11,8,9.55,1.67,113,0.61,10.33,38.75,1.75,53.67
S21分组结果-NB-沪深300-M2,5.85,-42.60,-26.23,60.75,5.20,10,10,11.60,0.55,132,0.74,-2.53,40.73,0.50,51.90
S21分组结果-XGB-全市场,15.02,-8.07,-4.63,41.87,15.08,14,11,6.80,2.10,157,0.44,11.75,36.14,2.21,55.02
S21分组结果-XGB-中证500,6.35,-14.11,-8.48,29.12,3.35,15,8,7.53,0.86,767,0.48,1.27,14.53,0.84,51.87
S21分组结果-XGB-沪深300,1.98,-20.38,-12.66,19.81,1.88,9,8,8.82,0.27,206,0.56,2.04,12.10,0.22,51.38
S21分组结果-XGB-中证500-M2,10.71,-19.45,-14.84,38.67,8.93,11,7,8.73,1.21,122,0.56,3.43,30.37,1.23,52.96
S21分组结果-XGB-沪深300-M2,0.18,-40.42,-21.22,52.85,1.37,12,9,9.92,0.07,199,0.64,-6.50,29.24,0.02,49.74
S21分组结果-SGD-全市场,12.43,-14.10,-12.47,44.07,12.44,13,10,7.09,1.69,481,0.45,8.31,30.56,1.75,54.63
S21分组结果-SGD-中证500,3.15,-16.32,-14.55,27.03,3.92,10,8,8.81,0.40,805,0.56,1.87,20.26,0.36,51.35
S21分组结果-SGD-沪深300,7.52,-13.78,-10.47,31.21,8.67,13,9,10.16,0.77,469,0.65,9.03,21.78,0.74,51.22
S21分组结果-SGD-中证500-M2,6.68,-17.34,-11.03,36.44,5.27,9,7,9.22,0.75,184,0.59,0.80,26.13,0.72,51.74
S21分组结果-SGD-沪深300-M2,2.65,-28.84,-27.53,42.65,3.30,12,9,10.38,0.30,165,0.66,1.51,23.00,0.26,50.45
S21分组结果-XGB_R-全市场,15.96,-8.34,-4.49,45.55,15.83,14,12,7.37,2.05,196,0.47,11.78,33.20,2.17,54.57
S21分组结果-XGB_R-中证500,9.98,-19.55,-12.45,56.21,8.15,11,11,9.63,1.04,100,0.62,1.20,32.58,1.04,51.90
S21分组结果-XGB_R-沪深300,-3.50,-42.94,-23.85,32.72,-4.68,8,11,10.56,-0.28,110,0.68,-8.65,10.08,-0.33,47.97
S21分组结果-XGB_R-中证500-M2,8.48,-15.92,-12.55,47.80,8.38,11,9,9.93,0.87,214,0.64,6.09,25.61,0.85,53.02
S21分组结果-XGB_R-沪深300-M2,-1.84,-36.33,-24.99,19.74,-3.57,10,9,11.07,-0.11,235,0.71,-2.39,9.72,-0.17,49.61
