x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
全市场,7.16,-5.03,-3.67,30.10,7.90,12,9,3.71,1.89,185,0.24,6.45,16.15,1.93,57.74
中证500,8.87,-5.30,-2.37,36.73,9.72,12,8,4.20,2.05,184,0.27,7.41,18.04,2.12,56.77
沪深300,8.90,-5.59,-1.85,31.94,9.70,11,11,3.97,2.17,264,0.25,8.53,18.01,2.24,57.03
中证800,8.89,-5.30,-1.82,34.89,9.71,11,7,4.02,2.14,139,0.26,8.39,17.75,2.21,57.78
