x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
sh000016,11.62,-13.31,-5.44,43.43,11.34,6,39,7.99,1.42,572,0.51,10.19,28.99,1.46,26.52
sh000300,15.17,-9.03,-6.84,38.90,15.86,5,24,8.15,1.77,273,0.52,15.56,33.04,1.86,27.68
组合,13.48,-9.05,-4.70,40.92,13.60,8,19,6.93,1.86,257,0.44,13.71,28.37,1.94,35.59
