methodID,pairName,date,premium,HighBond,LowBond,meanLine,Hbond_price,Lbond_price,asiaPos,usPos,asiaOP,asiaCL,usOP,usCL,exOP,exCL,operation
signal1-model1,INFO-INFY,2020-10-23,-7.49261756798347e-05,0.0108821406082834,-0.0235653210127007,-0.00634159020220866,15.5182035779847,14.9893954205297,1174.9,-15.18,1122.5,1134.45,15.22,15.15,74.06,73.9,
signal1-model1,INFO-INFY,2020-10-26,0.00335236396074934,0.0118115017647721,-0.0230594457731145,-0.00562397200417119,15.3483179090434,14.8193553624944,1174.9,-15.18,1112.45,1121,14.92,15.02,74.16,73.9,
signal1-model1,INFO-INFY,2020-10-27,-0.000481300813008123,0.0122923354390318,-0.0226134389982232,-0.00516055177959566,15.110674424636,14.5896294906819,1174.9,-15.18,1090.85,1107,14.85,14.8,74.02,74.16,
signal1-model1,INFO-INFY,2020-10-28,0.0177749999999999,0.0148675855916153,-0.0212680867117822,-0.00320025056008347,14.8075789305451,14.2803359409791,1080,-14.5,1076.55,1080,14.38,14.5,74.45,74.02,超上限\开盘平\收盘加仓美股
signal1-model1,INFO-INFY,2020-10-29,0.00980098094699122,0.0159730392710098,-0.0211999874659858,-0.00261347409748798,14.4678927633999,13.9385328850042,1080,-14.5,1074.85,1060.2,14.28,14.46,74.53,74.45,
signal1-model1,INFO-INFY,2020-10-30,-0.00533794392523368,0.0160508779990975,-0.0208523417310217,-0.00240073186596209,14.5870715075679,14.057265454821,1080,-14.5,1060.6,1070,14.27,14.23,74.7,74.53,
signal1-model1,INFO-INFY,2020-11-02,0.00251774647887326,0.0164191064851649,-0.0194190775840136,-0.00149998554942437,14.4678742101938,13.9577476927697,1080,-14.5,1072.3,1065,14.25,14.36,74.69,74.82,
signal1-model1,INFO-INFY,2020-11-03,-0.0117618384401115,0.0157665806915689,-0.017670275716015,-0.000951847512223042,14.6469488205224,14.1648026918443,1080,-14.5,1062.55,1077,14.3,14.23,74.85,74.69,
signal1-model1,INFO-INFY,2020-11-04,0.00220505617977529,0.0156593244029315,-0.0155256318111227,6.68462959043936e-05,14.4919727249476,14.0470090210517,1080,-14.5,1093.95,1068,14.68,14.66,74.42,74.85,
signal1-model1,INFO-INFY,2020-11-05,-0.0178129496402878,0.0156562225096905,-0.0155189213006433,6.86506045236124e-05,15.1802381643921,14.7142870902377,0,0,1104,1112,15.01,14.93,74.14,74.4,跌下限\开盘平\收盘平
signal1-model1,INFO-INFY,2020-11-06,0.00450496389891697,0.0160252256948305,-0.0144317866036259,0.000796719545602304,15.1821436287238,14.7270341260038,0,0,1112.75,1108,14.93,15.07,74.2,74.15,
signal1-model1,INFO-INFY,2020-11-09,-0.0134255999999999,0.0162386024450413,-0.015398437639551,0.00042008240274517,15.3789134752579,14.9001447088446,0,0,1136.55,1125,14.83,15.35,74.18,74.34,
signal1-model1,INFO-INFY,2020-11-10,-0.0535237030026671,0.0211324140511831,-0.0264387605151225,-0.00265317323196968,15.9997601085426,15.2543843172455,0,0,1091.05,1162.3,14.54,14.54,74.49,74.18,跌下限\收盘平
signal1-model1,INFO-INFY,2020-11-11,-0.0134517304189435,0.0210167003872608,-0.027060406722321,-0.00302185316753006,15.0480045238284,14.3394318579717,0,0,1122.5,1098,15.09,14.85,74.64,74.5,
signal1-model1,INFO-INFY,2020-11-12,-0.00144623703572355,0.0179290124252295,-0.0264491494261566,-0.00426006850046357,15.3827959667368,14.7121596052559,0,0,1117.75,1128.1,14.95,14.84,74.86,74.65,
signal1-model1,INFO-INFY,2020-11-13,0.00112502795795111,0.0170379573054412,-0.0264195843163286,-0.0046908135054437,15.18763095228,14.5386708033457,0,0,1124.2,1117.75,15.29,15.01,74.74,74.85,
signal1-model1,INFO-INFY,2020-11-16,0.00521328056288484,0.0168892130115072,-0.0264085363133186,-0.00475966165090568,15.4675991330312,14.8090099560101,0,0,1133.45,1137,15.46,15.29,74.6,74.75,
signal1-model1,INFO-INFY,2020-11-17,0.00734780519764167,0.0178872064049515,-0.0261629846203157,-0.00413788910768209,15.6217506305412,14.945702149831,0,0,1123.7,1144.75,15.28,15.16,74.69,74.59,
signal1-model1,INFO-INFY,2020-11-18,0.0108620017714791,0.0193496977276467,-0.0257040393385425,-0.00317717080544789,15.408298416582,14.7272745961546,0,0,1110.55,1129,14.99,15.16,74.43,74.69,
signal1-model1,INFO-INFY,2020-11-19,0.0142779090909093,0.0211626577117499,-0.0249960670522982,-0.00191670467027415,15.0917496101427,14.4095704184129,0,0,1096.75,1100,14.83,14.93,74.31,74.43,
signal1-model1,INFO-INFY,2020-11-20,-0.00315033921302577,0.0210028747489018,-0.0251438253931847,-0.00207047532214145,15.1893241560343,14.5028058273158,0,0,1103.35,1105.5,14.91,14.98,74.32,74.31,
signal1-model1,INFO-INFY,2020-11-23,0.00281556561085949,0.020961792724708,-0.0251564232039799,-0.00209731523963594,15.1798006049624,14.4941086162487,0,0,1139.85,1105,15.38,15.3,74.46,74.32,
