methodID,pairName,date,premium,HighBond,LowBond,meanLine,Hbond_price,Lbond_price,USPos,asiaPos,USOP,USCL,asiaOP,asiaCL,r_exOP,r_exCL,operation
signal1-model1,INFO-INFY,2020-10-23,0.00845402537547368,0.0230683688966953,-0.030029291293146,-0.00348046119822538,1145.41199979121,1085.96465590756,13.12,-1008,15.22,15.15,1122.5,1134.45,0.0135025654874426,0.013531799729364,
signal1-model1,INFO-INFY,2020-10-26,0.0112813046745071,0.0243811616426054,-0.0302551787262295,-0.00293700854181203,1137.04055303774,1076.39541722782,13.12,-1008,14.92,15.02,1112.45,1121,0.0134843581445523,0.013531799729364,
signal1-model1,INFO-INFY,2020-10-27,0.0135590687775153,0.0259073325933268,-0.0305826173994033,-0.00233764240303825,1126.00305921979,1064.00149778617,13.12,-1008,14.85,14.8,1090.85,1107,0.0135098621994056,0.0134843581445523,
signal1-model1,INFO-INFY,2020-10-28,0.0163609089807972,0.0275853274140782,-0.0310712454348438,-0.00174295901038276,1102.89705606026,1039.94154298724,13.12,-1008,14.38,14.5,1076.55,1080,0.0134318334452653,0.0135098621994056,
signal1-model1,INFO-INFY,2020-10-29,2.7866874365845e-06,0.027780243787239,-0.030032739871923,-0.00112624804234197,1106.45373810842,1044.2153439891,13.12,-1008,14.28,14.46,1074.85,1060.2,0.0134174158057158,0.0134318334452653,
signal1-model1,INFO-INFY,2020-10-30,0.0134721980866934,0.0280139636570518,-0.0301107471848676,-0.00104839176390787,1090.27244252265,1028.6275887552,13.12,-1008,14.27,14.23,1060.6,1070,0.0133868808567604,0.0134174158057158,
signal1-model1,INFO-INFY,2020-11-02,-0.0128583437762234,0.0273682701103851,-0.0285678581571606,-0.000599794023387756,1103.8200854043,1043.7214589645,13.12,-1008,14.25,14.36,1072.3,1065,0.0133886731824876,0.0133654103180968,
signal1-model1,INFO-INFY,2020-11-03,0.00890191522006112,0.0270205561751997,-0.028483100514166,-0.000731272169483155,1091.55719279853,1032.56575847755,13.12,-1008,14.3,14.23,1062.55,1077,0.0133600534402138,0.0133886731824876,
signal1-model1,INFO-INFY,2020-11-04,-0.0316695236767304,0.0287546106223157,-0.0332718394786412,-0.00225861442816276,1128.85346299048,1060.79177726825,13.12,-1008,14.68,14.66,1093.95,1068,0.013437248051599,0.0133600534402138,
signal1-model1,INFO-INFY,2020-11-05,-0.0151621545707927,0.0282298382147353,-0.0319657649800762,-0.00186796338267045,1142.14947845022,1075.28468398625,13.12,-1008,15.01,14.93,1104,1112,0.0134879956838414,0.0134408602150538,
signal1-model1,INFO-INFY,2020-11-06,-0.0120279334783374,0.0282249269077308,-0.03255074025694,-0.00216290667460456,1148.98017643624,1081.06698453191,13.12,-1008,14.93,15.07,1112.75,1108,0.0134770889487871,0.0134861766689144,
signal1-model1,INFO-INFY,2020-11-09,-0.0248606849942907,0.0288838947486407,-0.0341315916521421,-0.0026238484517507,1174.07896109167,1102.1707922655,13.12,-1008,14.83,15.35,1136.55,1125,0.0134807225667296,0.0134517083669626,
signal1-model1,INFO-INFY,2020-11-10,0.0537493282817401,0.040584709667235,-0.0390357299096681,0.000774489878783452,1122.3509425157,1036.47415173407,14.54,-1162.3,14.54,14.54,1091.05,1162.3,0.0134246207544637,0.0134807225667296,超上限\开盘平\收盘加仓亚股
signal1-model1,INFO-INFY,2020-11-11,-0.0138069735385172,0.0404224303921681,-0.0384579797190966,0.00098222533653578,1151.04534530362,1063.77797558727,14.54,-1162.3,15.09,14.85,1122.5,1098,0.0133976420150054,0.0134228187919463,
signal1-model1,INFO-INFY,2020-11-12,0.0132640552587726,0.0396343186565059,-0.0382637043554356,0.000685307150535108,1151.71313601359,1065.41723873282,14.54,-1162.3,14.95,14.84,1117.75,1128.1,0.0133582687683676,0.0133958472873409,
signal1-model1,INFO-INFY,2020-11-13,-0.00511660674224301,0.0389531177173582,-0.0357081463058745,0.00162248570574185,1167.26226932578,1083.38045118757,14.54,-1162.3,15.29,15.01,1124.2,1117.75,0.0133797163500134,0.0133600534402138,
signal1-model1,INFO-INFY,2020-11-16,-0.0163855537643463,0.0391006807846593,-0.0372050019113112,0.000947839436674064,1187.61674333751,1100.40488017801,14.54,-1162.3,15.46,15.29,1133.45,1137,0.0134048257372654,0.0133779264214047,
signal1-model1,INFO-INFY,2020-11-17,0.00235730171021098,0.0392743139112984,-0.0370099616706086,0.00113217612034491,1175.1951814916,1088.93411269828,14.54,-1162.3,15.28,15.16,1123.7,1144.75,0.0133886731824876,0.0134066228716986,
signal1-model1,INFO-INFY,2020-11-18,-0.00759551087326293,0.0392294787221913,-0.0373271433318483,0.000951167695171484,1176.71995444893,1090.03486067449,14.54,-1162.3,14.99,15.16,1110.55,1129,0.0134354426978369,0.0133886731824876,
signal1-model1,INFO-INFY,2020-11-19,-0.000620838038663085,0.0375817994326562,-0.0374519224726761,6.49384799900454e-05,1153.00229504336,1069.62182941666,14.54,-1162.3,14.83,14.93,1096.75,1100,0.013457139012246,0.0134354426978369,
signal1-model1,INFO-INFY,2020-11-20,-0.0147451794605611,0.0367627403540341,-0.0389527838776575,-0.00109502176181169,1154.08675175091,1069.80297107817,14.54,-1162.3,14.91,14.98,1103.35,1105.5,0.0134553283100108,0.013457139012246,
signal1-model1,INFO-INFY,2020-11-23,-0.0296773535391911,0.0362942542434642,-0.0425801635884574,-0.0031429546724966,1178.36605132323,1088.67826630422,14.54,-1162.3,15.38,15.3,1139.85,1105,0.013430029546065,0.0134553283100108,
